"Latitude (decimal degrees):	51.790",,,,,,,,Date,G_i
"Longitude (decimal degrees):	-1.393",,,,,,,,20160101:0056,0
"Elevation (m):	73",,,,,,,,20160101:0156,0
"Radiation database:	PVGIS-CMSAF",,,,,,,,20160101:0256,0
,,,,,,,,20160101:0356,0
,,,,,,,,20160101:0456,0
Slope: 22,,,,,,,,20160101:0556,0
Azimuth: -5,,,,,,,,20160101:0656,0
Date,G_i,As,Tamb,W10,int.,,,20160101:0756,0
20160101:0056,0,0,2.48,3.34,0,,,20160101:0856,19.68
20160101:0156,0,0,1.74,2.91,0,,,20160101:0956,217.17
20160101:0256,0,0,1,2.49,0,,,20160101:1056,74.13
20160101:0356,0,0,0.25,2.07,0,,,20160101:1156,108.4
20160101:0456,0,0,0.26,2.23,0,,,20160101:1256,62.62
20160101:0556,0,0,0.26,2.4,0,,,20160101:1356,17.24
20160101:0656,0,0,0.27,2.57,0,,,20160101:1456,16.56
20160101:0756,0,0,0.95,3.37,0,,,20160101:1556,0
20160101:0856,19.68,4.13,1.64,4.18,0,,,20160101:1656,0
20160101:0956,217.17,9.73,2.32,4.99,0,,,20160101:1756,0
20160101:1056,74.13,13.51,3.32,5.73,0,,,20160101:1856,0
20160101:1156,108.4,15.15,4.33,6.46,0,,,20160101:1956,0
20160101:1256,62.62,14.49,5.33,7.2,0,,,20160101:2056,0
20160101:1356,17.24,11.61,5.55,7.59,0,,,20160101:2156,0
20160101:1456,16.56,6.75,5.78,7.97,0,,,20160101:2256,0
20160101:1556,0,0,6,8.36,0,,,20160101:2356,0
20160101:1656,0,0,6.08,8.64,0,,,20160102:0056,0
20160101:1756,0,0,6.15,8.92,0,,,20160102:0156,0
20160101:1856,0,0,6.23,9.2,0,,,20160102:0256,0
20160101:1956,0,0,6.25,9.42,0,,,20160102:0356,0
20160101:2056,0,0,6.27,9.64,0,,,20160102:0456,0
20160101:2156,0,0,6.3,9.86,0,,,20160102:0556,0
20160101:2256,0,0,6.49,9.75,0,,,20160102:0656,0
20160101:2356,0,0,6.69,9.63,0,,,20160102:0756,0
20160102:0056,0,0,6.89,9.52,0,,,20160102:0856,90.88
20160102:0156,0,0,6.87,9.14,0,,,20160102:0956,44.71
20160102:0256,0,0,6.85,8.77,0,,,20160102:1056,7.33
20160102:0356,0,0,6.82,8.4,0,,,20160102:1156,32.24
20160102:0456,0,0,7.01,8.6,0,,,20160102:1256,8.11
20160102:0556,0,0,7.21,8.8,0,,,20160102:1356,5.97
20160102:0656,0,0,7.4,9.01,0,,,20160102:1456,160.37
20160102:0756,0,0,7.45,8.76,0,,,20160102:1556,0
20160102:0856,90.88,4.16,7.51,8.52,0,,,20160102:1656,0
20160102:0956,44.71,9.78,7.56,8.28,0,,,20160102:1756,0
20160102:1056,7.33,13.57,7.87,7.67,0,,,20160102:1856,0
20160102:1156,32.24,15.23,8.18,7.07,0,,,20160102:1956,0
20160102:1256,8.11,14.59,8.49,6.47,0,,,20160102:2056,0
20160102:1356,5.97,11.72,8.4,4.75,0,,,20160102:2156,0
20160102:1456,160.37,6.87,8.32,3.03,0,,,20160102:2256,0
20160102:1556,0,0,8.23,1.31,0,,,20160102:2356,0
20160102:1656,0,0,8.17,2.46,0,,,20160103:0056,0
20160102:1756,0,0,8.12,3.61,0,,,20160103:0156,0
20160102:1856,0,0,8.06,4.76,0,,,20160103:0256,0
20160102:1956,0,0,7.99,5.42,0,,,20160103:0356,0
20160102:2056,0,0,7.92,6.07,0,,,20160103:0456,0
20160102:2156,0,0,7.85,6.73,0,,,20160103:0556,0
20160102:2256,0,0,7.66,7.02,0,,,20160103:0656,0
20160102:2356,0,0,7.48,7.3,0,,,20160103:0756,0
20160103:0056,0,0,7.29,7.59,0,,,20160103:0856,34.31
20160103:0156,0,0,6.73,6.82,0,,,20160103:0956,43.47
20160103:0256,0,0,6.17,6.06,0,,,20160103:1056,45.06
20160103:0356,0,0,5.61,5.3,0,,,20160103:1156,36.13
20160103:0456,0,0,5.4,5.09,0,,,20160103:1256,12.53
20160103:0556,0,0,5.18,4.88,0,,,20160103:1356,27.92
20160103:0656,0,0,4.97,4.68,0,,,20160103:1456,10.1
20160103:0756,0,0,5.25,5.97,0,,,20160103:1556,0
20160103:0856,34.31,4.19,5.54,7.27,0,,,20160103:1656,0
20160103:0956,43.47,9.83,5.82,8.57,0,,,20160103:1756,0
20160103:1056,45.06,13.64,6.41,8.84,0,,,20160103:1856,0
20160103:1156,36.13,15.32,7,9.12,0,,,20160103:1956,0
20160103:1256,12.53,14.7,7.59,9.39,0,,,20160103:2056,0
20160103:1356,27.92,11.84,7.59,8.35,0,,,20160103:2156,0
20160103:1456,10.1,7,7.6,7.31,0,,,20160103:2256,0
20160103:1556,0,0,7.6,6.26,0,,,20160103:2356,0
20160103:1656,0,0,7.27,5.66,0,,,20160104:0056,0
20160103:1756,0,0,6.93,5.06,0,,,20160104:0156,0
20160103:1856,0,0,6.6,4.46,0,,,20160104:0256,0
20160103:1956,0,0,6.15,4.23,0,,,20160104:0356,0
20160103:2056,0,0,5.7,4,0,,,20160104:0456,0
20160103:2156,0,0,5.25,3.78,0,,,20160104:0556,0
20160103:2256,0,0,5.16,3.88,0,,,20160104:0656,0
20160103:2356,0,0,5.06,3.98,0,,,20160104:0756,0
20160104:0056,0,0,4.97,4.08,0,,,20160104:0856,94.52
20160104:0156,0,0,4.99,4.17,0,,,20160104:0956,211.93
20160104:0256,0,0,5,4.27,0,,,20160104:1056,321.59
20160104:0356,0,0,5.01,4.36,0,,,20160104:1156,370.4
