"Latitude (decimal degrees):	51.790",,,,,,,,Date,G_i (kW/m),Electric car demand (kWh),Electric bus demand (kWh)
"Longitude (decimal degrees):	-1.393",,,,,,,,0101:0056,0,0,0
"Elevation (m):	73",,,,,,,,0101:0156,0,0,0
"Radiation database:	PVGIS-CMSAF",,,,,,,,0101:0256,0,0,0
,,,,,,,,0101:0356,0,0,0
,,,,,,,,0101:0456,0,0,0
Slope: 22,,,,,,,,0101:0556,0,0,50
Azimuth: -5,,,,,,,,0101:0656,0,9.082787386,50
,,,,,,,,0101:0756,0,86.28648017,50
,,,,,,,,0101:0856,0.051664,186.1971414,50
Date,G_i,As,Tamb,W10,int.,,,0101:0956,0.137813,240.6938657,50
20070101:0056,0,0,7.6,9.03,0,,,0101:1056,0.179279,261.5842767,50
20070101:0156,0,0,7.04,9.03,0,,,0101:1156,0.153964,207.5416918,50
20070101:0256,0,0,6.48,9.03,0,,,0101:1256,0.174929,137.6042289,50
20070101:0356,0,0,5.91,9.03,0,,,0101:1356,0.078485,99.45652188,50
20070101:0456,0,0,5.68,8.79,0,,,0101:1456,0.082779,77.65783215,50
20070101:0556,0,0,5.46,8.54,0,,,0101:1556,0.010895,67.21262666,50
20070101:0656,0,0,5.23,8.29,0,,,0101:1656,0,49.95533062,50
20070101:0756,0,0,4.99,8.14,0,,,0101:1756,0,46.32221567,50
20070101:0856,93.02,4.13,4.75,8,0,,,0101:1856,0,44.50565819,50
20070101:0956,204.28,9.73,4.51,7.85,0,,,0101:1956,0,31.78975585,50
20070101:1056,406.4,13.51,5.45,7.81,0,,,0101:2056,0,19.07385351,50
20070101:1156,153.6,15.15,6.4,7.77,0,,,0101:2156,0,6.35795117,50
20070101:1256,426.75,14.49,7.34,7.72,0,,,0101:2256,0,0,0
20070101:1356,39.43,11.61,6.98,7.51,0,,,0101:2356,0,0,0
20070101:1456,149.87,6.75,6.62,7.29,0,,,0102:0056,0,0,0
20070101:1556,18.89,0.29,6.26,7.08,0,,,0102:0156,0,0,0
20070101:1656,0,0,5.82,6.74,0,,,0102:0256,0,0,0
20070101:1756,0,0,5.38,6.4,0,,,0102:0356,0,0,0
20070101:1856,0,0,4.94,6.07,0,,,0102:0456,0,0,0
20070101:1956,0,0,4.45,6.69,0,,,0102:0556,0,0,50
20070101:2056,0,0,3.96,7.32,0,,,0102:0656,0,9.082787386,50
20070101:2156,0,0,3.48,7.94,0,,,0102:0756,0,86.28648017,50
20070101:2256,0,0,3.37,7.93,0,,,0102:0856,0.090098,186.1971414,50
20070101:2356,0,0,3.27,7.92,0,,,0102:0956,0.21519,240.6938657,50
20070102:0056,0,0,3.16,7.9,0,,,0102:1056,0.237664,261.5842767,50
20070102:0156,0,0,3.45,8.1,0,,,0102:1156,0.272129,207.5416918,50
20070102:0256,0,0,3.74,8.29,0,,,0102:1256,0.233291,137.6042289,50
20070102:0356,0,0,4.02,8.48,0,,,0102:1356,0.209028,99.45652188,50
20070102:0456,0,0,4.11,8.67,0,,,0102:1456,0.147387,77.65783215,50
20070102:0556,0,0,4.19,8.85,0,,,0102:1556,0.013558,67.21262666,50
20070102:0656,0,0,4.27,9.03,0,,,0102:1656,0,49.95533062,50
20070102:0756,0,0,4.51,9.17,0,,,0102:1756,0,46.32221567,50
20070102:0856,88,4.16,4.75,9.3,0,,,0102:1856,0,44.50565819,50
20070102:0956,197.08,9.78,4.99,9.43,0,,,0102:1956,0,31.78975585,50
20070102:1056,397.79,13.57,5.82,9.68,0,,,0102:2056,0,19.07385351,50
20070102:1156,220.24,15.23,6.66,9.93,0,,,0102:2156,0,6.35795117,50
20070102:1256,132.3,14.59,7.49,10.18,0,,,0102:2256,0,0,0
20070102:1356,240.7,11.72,7.52,9.8,0,,,0102:2356,0,0,0
20070102:1456,148.1,6.87,7.55,9.43,0,,,20070103:0056,0,0,0
20070102:1556,23.31,0.41,7.57,9.05,0,,,20070103:0156,0,0,0
20070102:1656,0,0,6.94,8.2,0,,,20070103:0256,0,0,0
20070102:1756,0,0,6.32,7.36,0,,,20070103:0356,0,0,0
20070102:1856,0,0,5.69,6.51,0,,,20070103:0456,0,0,0
20070102:1956,0,0,5.36,5.72,0,,,20070103:0556,0,0,50
20070102:2056,0,0,5.03,4.94,0,,,20070103:0656,0,9.082787386,50
20070102:2156,0,0,4.71,4.15,0,,,20070103:0756,0,86.28648017,50
20070102:2256,0,0,4.78,3.78,0,,,20070103:0856,0.053282,186.1971414,50
20070102:2356,0,0,4.85,3.41,0,,,20070103:0956,0.106616,240.6938657,50
20070103:0056,0,0,4.92,3.03,0,,,20070103:1056,0.13076,261.5842767,50
20070103:0156,0,0,5.28,3.62,0,,,20070103:1156,0.163308,207.5416918,50
20070103:0256,0,0,5.64,4.21,0,,,20070103:1256,0.146218,137.6042289,50
20070103:0356,0,0,6,4.8,0,,,20070103:1356,0.157758,99.45652188,50
20070103:0456,0,0,6.4,5.26,0,,,20070103:1456,0.100898,77.65783215,50
20070103:0556,0,0,6.79,5.73,0,,,20070103:1556,0.00907,67.21262666,50
20070103:0656,0,0,7.19,6.19,0,,,20070103:1656,0,49.95533062,50
20070103:0756,0,0,7.37,6.62,0,,,20070103:1756,0,46.32221567,50
20070103:0856,10.93,4.19,7.54,7.05,0,,,20070103:1856,0,44.50565819,50
20070103:0956,26.46,9.83,7.72,7.48,0,,,20070103:1956,0,31.78975585,50
20070103:1056,10.59,13.64,8.23,7.99,0,,,20070103:2056,0,19.07385351,50
20070103:1156,55.4,15.32,8.73,8.51,0,,,20070103:2156,0,6.35795117,50
20070103:1256,57.98,14.7,9.24,9.02,0,,,20070103:2256,0,0,0
20070103:1356,6.02,11.84,9.41,9.42,0,,,20070103:2356,0,0,0
20070103:1456,21.85,7,9.58,9.82,0,,,20070104:0056,0,0,0
20070103:1556,7.72,0.55,9.74,10.22,0,,,20070104:0156,0,0,0
20070103:1656,0,0,9.72,10.44,0,,,20070104:0256,0,0,0
20070103:1756,0,0,9.7,10.66,0,,,20070104:0356,0,0,0
20070103:1856,0,0,9.68,10.88,0,,,20070104:0456,0,0,0
20070103:1956,0,0,9.72,11.14,0,,,20070104:0556,0,0,50
20070103:2056,0,0,9.76,11.41,0,,,20070104:0656,0,9.082787386,50
20070103:2156,0,0,9.8,11.67,0,,,20070104:0756,0,86.28648017,50
20070103:2256,0,0,9.6,11.23,0,,,20070104:0856,0.065382,186.1971414,50
20070103:2356,0,0,9.4,10.79,0,,,20070104:0956,0.12976,240.6938657,50
20070104:0056,0,0,9.2,10.34,0,,,20070104:1056,0.162498,261.5842767,50
20070104:0156,0,0,8.81,10.11,0,,,20070104:1156,0.162385,207.5416918,50
20070104:0256,0,0,8.41,9.88,0,,,20070104:1256,0.138712,137.6042289,50
20070104:0356,0,0,8.01,9.64,0,,,20070104:1356,0.105695,99.45652188,50
20070104:0456,0,0,7.65,9.28,0,,,20070104:1456,0.080319,77.65783215,50
20070104:0556,0,0,7.28,8.92,0,,,20070104:1556,0.011658,67.21262666,50
20070104:0656,0,0,6.92,8.57,0,,,20070104:1656,0,49.95533062,50
20070104:0756,0,0,6.87,8.49,0,,,20070104:1756,0,46.32221567,50
20070104:0856,48.21,4.24,6.83,8.41,0,,,20070104:1856,0,44.50565819,50
20070104:0956,108.95,9.89,6.78,8.33,0,,,20070104:1956,0,31.78975585,50
20070104:1056,52.3,13.72,7.21,8.55,0,,,20070104:2056,0,19.07385351,50
20070104:1156,130.53,15.42,7.64,8.76,0,,,20070104:2156,0,6.35795117,50
20070104:1256,70.73,14.81,8.07,8.98,0,,,20070104:2256,0,0,0
20070104:1356,328.26,11.97,8.27,8.7,0,,,20070104:2356,0,0,0
20070104:1456,84.37,7.13,8.47,8.42,0,,,20070105:0056,0,0,0
20070104:1556,0.34,0.68,8.67,8.14,0,,,20070105:0156,0,0,0
20070104:1656,0,0,8.15,7.69,0,,,20070105:0256,0,0,0
20070104:1756,0,0,7.64,7.24,0,,,20070105:0356,0,0,0
20070104:1856,0,0,7.12,6.79,0,,,20070105:0456,0,0,0
20070104:1956,0,0,6.9,6.32,0,,,20070105:0556,0,0,50
20070104:2056,0,0,6.68,5.85,0,,,20070105:0656,0,9.082787386,50
20070104:2156,0,0,6.46,5.38,0,,,20070105:0756,0,86.28648017,50
20070104:2256,0,0,6.39,5.03,0,,,20070105:0856,0.056146,186.1971414,50
20070104:2356,0,0,6.33,4.69,0,,,20070105:0956,0.115679,240.6938657,50
20070105:0056,0,0,6.26,4.34,0,,,20070105:1056,0.169779,261.5842767,50
20070105:0156,0,0,6.52,4.65,0,,,20070105:1156,0.171607,207.5416918,50
20070105:0256,0,0,6.78,4.96,0,,,20070105:1256,0.116503,137.6042289,50
20070105:0356,0,0,7.03,5.27,0,,,20070105:1356,0.114874,99.45652188,50
20070105:0456,0,0,7.12,5.42,0,,,20070105:1456,0.09405,77.65783215,50
20070105:0556,0,0,7.2,5.57,0,,,20070105:1556,0.013068,67.21262666,50
20070105:0656,0,0,7.29,5.72,0,,,20070105:1656,0,49.95533062,50
20070105:0756,0,0,7.45,5.96,0,,,20070105:1756,0,46.32221567,50
20070105:0856,19.57,4.29,7.62,6.2,0,,,20070105:1856,0,44.50565819,50
20070105:0956,47.71,9.96,7.78,6.44,0,,,20070105:1956,0,31.78975585,50
20070105:1056,44.82,13.81,8.57,6.8,0,,,20070105:2056,0,19.07385351,50
20070105:1156,70.21,15.52,9.35,7.16,0,,,20070105:2156,0,6.35795117,50
20070105:1256,59.77,14.93,10.14,7.52,0,,,20070105:2256,0,0,0
20070105:1356,60.07,12.1,10.25,7.31,0,,,20070105:2356,0,0,0
20070105:1456,39.85,7.27,10.36,7.1,0,,,20070106:0056,0,0,0
20070105:1556,14.32,0.83,10.46,6.9,0,,,20070106:0156,0,0,0
20070105:1656,0,0,9.86,6.44,0,,,20070106:0256,0,0,0
20070105:1756,0,0,9.25,5.98,0,,,20070106:0356,0,0,0
20070105:1856,0,0,8.65,5.52,0,,,20070106:0456,0,0,0
20070105:1956,0,0,7.96,5.22,0,,,20070106:0556,0,0,50
20070105:2056,0,0,7.27,4.93,0,,,20070106:0656,0,9.082787386,50
20070105:2156,0,0,6.59,4.63,0,,,20070106:0756,0,86.28648017,50
20070105:2256,0,0,6.28,4.57,0,,,20070106:0856,0.080289,186.1971414,50
20070105:2356,0,0,5.97,4.5,0,,,20070106:0956,0.132655,240.6938657,50
20070106:0056,0,0,5.66,4.43,0,,,20070106:1056,0.210197,261.5842767,50
20070106:0156,0,0,5.24,4.16,0,,,20070106:1156,0.179287,207.5416918,50
20070106:0256,0,0,4.82,3.89,0,,,20070106:1256,0.19802,137.6042289,50
20070106:0356,0,0,4.4,3.61,0,,,20070106:1356,0.168978,99.45652188,50
20070106:0456,0,0,4.55,3.57,0,,,20070106:1456,0.129661,77.65783215,50
20070106:0556,0,0,4.69,3.52,0,,,20070106:1556,0.010856,67.21262666,50
