"Latitude (decimal degrees):	51.790",,,,,,,,Date (ignore the year),Averaged G_i (W/m^2)
"Longitude (decimal degrees):	-1.393",,,,,,,,0101:0056,0
"Elevation (m):	73",,,,,,,,0101:0156,0
"Radiation database:	PVGIS-CMSAF",,,,,,,,0101:0256,0
,,,,,,,,0101:0356,0
,,,,,,,,0101:0456,0
Slope: 39 deg. (opt) (optimum),,,,,,,,0101:0556,0
Azimuth: -5 deg. (opt) (optimum),,,,,,,,0101:0656,0
Date,G_i,As,Tamb,W10,int.,,,0101:0756,0
20150101:0056,0,0,5.88,6.68,0,,,0101:0856,12.705
20150101:0156,0,0,6.09,6.51,0,,,0101:0956,153.84
20150101:0256,0,0,6.29,6.34,0,,,0101:1056,45.74
20150101:0356,0,0,6.49,6.18,0,,,0101:1156,57.61
20150101:0456,0,0,6.7,6.38,0,,,0101:1256,38.065
20150101:0556,0,0,6.92,6.57,0,,,0101:1356,10.825
20150101:0656,0,0,7.13,6.77,0,,,0101:1456,13.28
20150101:0756,0,0,7.34,6.99,0,,,0101:1556,0
20150101:0856,5.78,4.13,7.54,7.21,0,,,0101:1656,0
20150101:0956,26.38,9.73,7.75,7.43,0,,,0101:1756,0
20150101:1056,20.78,13.51,8.31,7.68,0,,,0101:1856,0
20150101:1156,7.96,15.15,8.86,7.92,0,,,0101:1956,0
20150101:1256,17.42,14.49,9.42,8.17,0,,,0101:2056,0
20150101:1356,5.5,11.61,9.48,8.52,0,,,0101:2156,0
20150101:1456,11.05,6.75,9.54,8.88,0,,,0101:2256,0
20150101:1556,0,0,9.6,9.24,0,,,0101:2356,0
20150101:1656,0,0,9.64,9.34,0,,,0102:0056,0
20150101:1756,0,0,9.69,9.44,0,,,0102:0156,0
20150101:1856,0,0,9.73,9.54,0,,,0102:0256,0
20150101:1956,0,0,9.99,9.42,0,,,0102:0356,0
20150101:2056,0,0,10.25,9.3,0,,,0102:0456,0
20150101:2156,0,0,10.52,9.17,0,,,0102:0556,0
20150101:2256,0,0,10.89,9.1,0,,,0102:0656,0
20150101:2356,0,0,11.27,9.03,0,,,0102:0756,0
20150102:0056,0,0,11.65,8.95,0,,,0102:0856,137.8
20150102:0156,0,0,11.02,8.53,0,,,0102:0956,218.145
20150102:0256,0,0,10.39,8.11,0,,,0102:1056,275.435
20150102:0356,0,0,9.76,7.7,0,,,0102:1156,314.88
20150102:0456,0,0,8.57,7.34,0,,,0102:1256,286.905
20150102:0556,0,0,7.37,6.98,0,,,0102:1356,226.415
20150102:0656,0,0,6.18,6.62,0,,,0102:1456,232.495
20150102:0756,0,0,5.5,6.36,0,,,0102:1556,0.5
20150102:0856,148.75,4.16,4.83,6.1,0,,,0102:1656,0
20150102:0956,393.99,9.78,4.15,5.83,0,,,0102:1756,0
20150102:1056,544,13.57,4.92,5.53,0,,,0102:1856,0
20150102:1156,599.56,15.23,5.69,5.22,0,,,0102:1956,0
20150102:1256,566.21,14.59,6.46,4.91,0,,,0102:2056,0
20150102:1356,447.24,11.72,6.39,5.26,0,,,0102:2156,0
20150102:1456,250.82,6.87,6.33,5.61,0,,,0102:2256,0
20150102:1556,1,0.41,6.26,5.96,0,,,0102:2356,0
20150102:1656,0,0,5.28,4.86,0,,,20150103:0056,0
20150102:1756,0,0,4.29,3.77,0,,,20150103:0156,0
20150102:1856,0,0,3.31,2.68,0,,,20150103:0256,0
20150102:1956,0,0,3.15,2.71,0,,,20150103:0356,0
20150102:2056,0,0,3,2.74,0,,,20150103:0456,0
20150102:2156,0,0,2.85,2.77,0,,,20150103:0556,0
20150102:2256,0,0,3.2,2.93,0,,,20150103:0656,0
20150102:2356,0,0,3.55,3.09,0,,,20150103:0756,0
20150103:0056,0,0,3.9,3.26,0,,,20150103:0856,43.45
20150103:0156,0,0,3.79,3.34,0,,,20150103:0956,22.8
20150103:0256,0,0,3.68,3.43,0,,,20150103:1056,24.585
20150103:0356,0,0,3.57,3.52,0,,,20150103:1156,44.3
