,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160401:0056,0,0,0,1.75,1.39,0,,,Efficiency,0.15,,201603:2356,0,,Total kWh,253029.132
20160401:0156,0,0,0,1.12,1.82,0,,,,,,201604:0056,0,,,
20160401:0256,0,0,0,0.49,2.25,0,,,,,,201604:0156,0,,,
20160401:0356,0,0,0,-0.13,2.68,0,,,,,,201604:0256,0,,,
20160401:0456,0,0,0,0.29,2.8,0,,,,,,201604:0356,0,,,
20160401:0556,8,14.4,1.42,0.71,2.91,0,,,,,,201604:0456,1.473,,,
20160401:0656,60.43,108.774,10.68,1.13,3.03,0,,,,,,201604:0556,72.597,,,
20160401:0756,354.41,637.938,19.72,2.99,3.68,0,,,,,,201604:0656,288.1998,,,
20160401:0856,567.2,1020.96,28.09,4.84,4.32,0,,,,,,201604:0756,618.3582,,,
20160401:0956,783.53,1410.354,35.21,6.7,4.97,0,,,,,,201604:0856,891.6426,,,
20160401:1056,491.94,885.492,40.32,7.75,5.64,0,,,,,,201604:0956,1037.0856,,,
20160401:1156,358.16,644.688,42.67,8.79,6.31,0,,,,,,201604:1056,1135.1328,,,
20160401:1256,348.27,626.886,41.8,9.84,6.98,0,,,,,,201604:1156,1005.7248,,,
20160401:1356,228.65,411.57,37.89,9.59,7.1,0,,,,,,201604:1256,870.9168,,,
20160401:1456,569.29,1024.722,31.61,9.34,7.22,0,,,,,,201604:1356,951.4182,,,
20160401:1556,239.86,431.748,23.75,9.09,7.34,0,,,,,,201604:1456,718.6842,,,
20160401:1656,19.92,35.856,14.95,8.44,7.03,0,,,,,,201604:1556,464.2872,,,
20160401:1756,28.76,51.768,5.74,7.78,6.72,0,,,,,,201604:1656,286.437,,,
20160401:1856,0,0,0,7.12,6.41,0,,,,,,201604:1756,85.0908,,,
20160401:1956,0,0,0,6.86,6.46,0,,,,,,201604:1856,7.2564,,,
20160401:2056,0,0,0,6.61,6.5,0,,,,,,201604:1956,0,,,
20160401:2156,0,0,0,6.35,6.54,0,,,,,,201604:2056,0,,,
20160401:2256,0,0,0,6.53,6.48,0,,,,,,201604:2156,0,,,
20160401:2356,0,0,0,6.72,6.42,0,,,,,,201604:2256,0,,,
20160402:0056,0,0,0,6.9,6.36,0,,,,,,201604:2356,0,,,
20160402:0156,0,0,0,6.61,5.79,0,,,,,,,,,,
20160402:0256,0,0,0,6.33,5.23,0,,,,,,,,,,
20160402:0356,0,0,0,6.05,4.66,0,,,,,,,,,,
20160402:0456,0,0,0,5.87,4.55,0,,,,,,,,,,
20160402:0556,5.17,9.306,1.77,5.69,4.44,0,,,,,,,,,,
20160402:0656,35.52,63.936,11.03,5.51,4.33,0,,,,,,,,,,
20160402:0756,114.69,206.442,20.08,6.08,4.65,0,,,,,,,,,,
20160402:0856,144.83,260.694,28.46,6.64,4.97,0,,,,,,,,,,
20160402:0956,693.4,1248.12,35.59,7.21,5.3,0,,,,,,,,,,
20160402:1056,1011.88,1821.384,40.72,7.92,5.38,0,,,,,,,,,,
20160402:1156,1056.68,1902.024,43.06,8.63,5.47,0,,,,,,,,,,
20160402:1256,1019.33,1834.794,42.17,9.34,5.56,0,,,,,,,,,,
20160402:1356,889.66,1601.388,38.23,10.16,5.49,0,,,,,,,,,,
20160402:1456,693.07,1247.526,31.91,10.99,5.41,0,,,,,,,,,,
20160402:1556,74.86,134.748,24.02,11.81,5.34,0,,,,,,,,,,
20160402:1656,8.14,14.652,15.21,10.97,4.79,0,,,,,,,,,,
20160402:1756,21.25,38.25,5.99,10.12,4.24,0,,,,,,,,,,
20160402:1856,0,0,0,9.28,3.7,0,,,,,,,,,,
20160402:1956,0,0,0,8.31,3.31,0,,,,,,,,,,
20160402:2056,0,0,0,7.33,2.91,0,,,,,,,,,,
20160402:2156,0,0,0,6.35,2.52,0,,,,,,,,,,
20160402:2256,0,0,0,6.34,2.2,0,,,,,,,,,,
20160402:2356,0,0,0,6.33,1.87,0,,,,,,,,,,
20160403:0056,0,0,0,6.32,1.54,0,,,,,,,,,,
20160403:0156,0,0,0,5.97,1.91,0,,,,,,,,,,
20160403:0256,0,0,0,5.62,2.28,0,,,,,,,,,,
20160403:0356,0,0,0,5.28,2.65,0,,,,,,,,,,
20160403:0456,0,0,0,5.06,2.64,0,,,,,,,,,,
