,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160801:0056,0,0,0,13.43,2.72,0,,,Efficiency,0.15,,201607:2356,0,,Total kWh,285796.872
20160801:0156,0,0,0,12.56,2.46,0,,,,,,201608:0056,0,,,
20160801:0256,0,0,0,11.69,2.19,0,,,,,,201608:0156,0,,,
20160801:0356,0,0,0,10.82,1.93,0,,,,,,201608:0256,0,,,
20160801:0456,1.23,2.214,3.02,11.14,2.37,0,,,,,,201608:0356,0,,,
20160801:0556,41.63,74.934,11.72,11.46,2.81,0,,,,,,201608:0456,3.523354839,,,
20160801:0656,71.27,128.286,20.87,11.78,3.26,0,,,,,,201608:0556,84.042,,,
20160801:0756,153.86,276.948,30.12,13.09,3.49,0,,,,,,201608:0656,255.536129,,,
20160801:0856,211.24,380.232,39.04,14.4,3.73,0,,,,,,201608:0756,530.01,,,
20160801:0956,287.38,517.284,47.01,15.7,3.97,0,,,,,,201608:0856,807.3574839,,,
20160801:1056,244.27,439.686,53.11,15.97,4.42,0,,,,,,201608:0956,998.1627097,,,
20160801:1156,267.62,481.716,56.13,16.23,4.86,0,,,,,,201608:1056,1208.056065,,,
20160801:1256,284.13,511.434,55.16,16.5,5.31,0,,,,,,201608:1156,1238.956839,,,
20160801:1356,223.17,401.706,50.53,15.82,5.24,0,,,,,,201608:1256,1158.765677,,,
20160801:1456,195.08,351.144,43.4,15.14,5.17,0,,,,,,201608:1356,1008.808258,,,
20160801:1556,158.56,285.408,34.89,14.47,5.1,0,,,,,,201608:1456,857.385871,,,
20160801:1656,74.31,133.758,25.76,13.88,5.15,0,,,,,,201608:1556,596.7284516,,,
20160801:1756,17.74,31.932,16.51,13.29,5.2,0,,,,,,201608:1656,335.240129,,,
20160801:1856,15.67,28.206,7.52,12.7,5.26,0,,,,,,201608:1756,110.8463226,,,
20160801:1956,0,0,0,12.62,5.52,0,,,,,,201608:1856,25.83464516,,,
20160801:2056,0,0,0,12.53,5.78,0,,,,,,201608:1956,0,,,
20160801:2156,0,0,0,12.45,6.04,0,,,,,,201608:2056,0,,,
20160801:2256,0,0,0,13.08,5.57,0,,,,,,201608:2156,0,,,
20160801:2356,0,0,0,13.72,5.09,0,,,,,,201608:2256,0,,,
20160802:0056,0,0,0,14.35,4.62,0,,,,,,201608:2356,0,,,
20160802:0156,0,0,0,14.68,4.61,0,,,,,,,,,,
20160802:0256,0,0,0,15,4.6,0,,,,,,,,,,
20160802:0356,0,0,0,15.33,4.59,0,,,,,,,,,,
20160802:0456,8,14.4,2.82,15.53,4.48,0,,,,,,,,,,
20160802:0556,21.88,39.384,11.53,15.73,4.37,0,,,,,,,,,,
20160802:0656,55.71,100.278,20.69,15.93,4.26,0,,,,,,,,,,
20160802:0756,155.27,279.486,29.94,16.25,4.36,0,,,,,,,,,,
20160802:0856,196.73,354.114,38.84,16.57,4.46,0,,,,,,,,,,
20160802:0956,203.23,365.814,46.8,16.88,4.55,0,,,,,,,,,,
20160802:1056,269.31,484.758,52.88,17.28,5.23,0,,,,,,,,,,
20160802:1156,324.15,583.47,55.88,17.68,5.91,0,,,,,,,,,,
20160802:1256,341.46,614.628,54.91,18.08,6.59,0,,,,,,,,,,
20160802:1356,244.46,440.028,50.29,18.45,6.8,0,,,,,,,,,,
20160802:1456,277.14,498.852,43.18,18.82,7.01,0,,,,,,,,,,
20160802:1556,262.13,471.834,34.69,19.19,7.21,0,,,,,,,,,,
20160802:1656,88.32,158.976,25.56,19.09,6.86,0,,,,,,,,,,
20160802:1756,27.61,49.698,16.3,19,6.51,0,,,,,,,,,,
20160802:1856,36.84,66.312,7.31,18.9,6.15,0,,,,,,,,,,
20160802:1956,0,0,0,18.44,6.11,0,,,,,,,,,,
20160802:2056,0,0,0,17.99,6.08,0,,,,,,,,,,
20160802:2156,0,0,0,17.53,6.04,0,,,,,,,,,,
20160802:2256,0,0,0,17.5,6.19,0,,,,,,,,,,
20160802:2356,0,0,0,17.48,6.34,0,,,,,,,,,,
20160803:0056,0,0,0,17.45,6.5,0,,,,,,,,,,
20160803:0156,0,0,0,17.32,6.74,0,,,,,,,,,,
20160803:0256,0,0,0,17.19,6.99,0,,,,,,,,,,
20160803:0356,0,0,0,17.06,7.24,0,,,,,,,,,,
20160803:0456,11.09,19.962,2.62,16.75,7.13,0,,,,,,,,,,
20160803:0556,74.61,134.298,11.34,16.45,7.01,0,,,,,,,,,,
20160803:0656,154.44,277.992,20.51,16.15,6.9,0,,,,,,,,,,
20160803:0756,378.37,681.066,29.75,16.54,7.18,0,,,,,,,,,,
20160803:0856,502.29,904.122,38.65,16.93,7.46,0,,,,,,,,,,
20160803:0956,679.28,1222.704,46.58,17.32,7.74,0,,,,,,,,,,
20160803:1056,366.78,660.204,52.64,17.87,8.12,0,,,,,,,,,,
20160803:1156,964.01,1735.218,55.62,18.43,8.51,0,,,,,,,,,,
20160803:1256,775.02,1395.036,54.66,18.98,8.9,0,,,,,,,,,,
20160803:1356,222.87,401.166,50.05,19.45,9.15,0,,,,,,,,,,
20160803:1456,436.01,784.818,42.96,19.93,9.4,0,,,,,,,,,,
20160803:1556,271.47,488.646,34.47,20.41,9.66,0,,,,,,,,,,
20160803:1656,289.6,521.28,25.35,19.63,9.5,0,,,,,,,,,,
20160803:1756,113.79,204.822,16.1,18.85,9.34,0,,,,,,,,,,
20160803:1856,37.26,67.068,7.1,18.07,9.19,0,,,,,,,,,,
20160803:1956,0,0,0,17.1,8.87,0,,,,,,,,,,
20160803:2056,0,0,0,16.13,8.55,0,,,,,,,,,,
20160803:2156,0,0,0,15.16,8.23,0,,,,,,,,,,
20160803:2256,0,0,0,15.07,8.13,0,,,,,,,,,,
20160803:2356,0,0,0,14.99,8.02,0,,,,,,,,,,
20160804:0056,0,0,0,14.9,7.92,0,,,,,,,,,,
20160804:0156,0,0,0,14.83,7.73,0,,,,,,,,,,
20160804:0256,0,0,0,14.76,7.55,0,,,,,,,,,,
20160804:0356,0,0,0,14.7,7.37,0,,,,,,,,,,
20160804:0456,10.76,19.368,2.42,14.67,7.35,0,,,,,,,,,,
20160804:0556,64,115.2,11.15,14.65,7.34,0,,,,,,,,,,
20160804:0656,156.47,281.646,20.32,14.62,7.32,0,,,,,,,,,,
20160804:0756,274.43,493.974,29.56,15.16,7.31,0,,,,,,,,,,
20160804:0856,289.43,520.974,38.45,15.71,7.3,0,,,,,,,,,,
20160804:0956,273.55,492.39,46.36,16.25,7.28,0,,,,,,,,,,
20160804:1056,234.99,422.982,52.4,16.94,7.23,0,,,,,,,,,,
20160804:1156,265.2,477.36,55.36,17.64,7.17,0,,,,,,,,,,
20160804:1256,743.65,1338.57,54.4,18.33,7.12,0,,,,,,,,,,
20160804:1356,455.48,819.864,49.81,18.56,7.07,0,,,,,,,,,,
20160804:1456,351.56,632.808,42.73,18.8,7.02,0,,,,,,,,,,
20160804:1556,167.21,300.978,34.26,19.04,6.97,0,,,,,,,,,,
20160804:1656,204.54,368.172,25.14,18.53,6.62,0,,,,,,,,,,
20160804:1756,72.88,131.184,15.88,18.03,6.27,0,,,,,,,,,,
20160804:1856,35.23,63.414,6.88,17.52,5.92,0,,,,,,,,,,
20160804:1956,0,0,0,16.56,5.21,0,,,,,,,,,,
20160804:2056,0,0,0,15.6,4.51,0,,,,,,,,,,
20160804:2156,0,0,0,14.65,3.81,0,,,,,,,,,,
20160804:2256,0,0,0,14.18,3.73,0,,,,,,,,,,
20160804:2356,0,0,0,13.71,3.66,0,,,,,,,,,,
20160805:0056,0,0,0,13.24,3.59,0,,,,,,,,,,
20160805:0156,0,0,0,12.99,3.43,0,,,,,,,,,,
20160805:0256,0,0,0,12.73,3.27,0,,,,,,,,,,
20160805:0356,0,0,0,12.48,3.12,0,,,,,,,,,,
20160805:0456,0.89,1.602,2.22,12.55,3.09,0,,,,,,,,,,
20160805:0556,73.17,131.706,10.96,12.62,3.05,0,,,,,,,,,,
20160805:0656,238.18,428.724,20.13,12.69,3.02,0,,,,,,,,,,
20160805:0756,433.94,781.092,29.37,14.26,3.25,0,,,,,,,,,,
20160805:0856,599.43,1078.974,38.25,15.84,3.47,0,,,,,,,,,,
20160805:0956,691.16,1244.088,46.14,17.41,3.7,0,,,,,,,,,,
20160805:1056,750.95,1351.71,52.15,18.08,4.17,0,,,,,,,,,,
20160805:1156,915.94,1648.692,55.1,18.76,4.63,0,,,,,,,,,,
20160805:1256,846.85,1524.33,54.13,19.43,5.1,0,,,,,,,,,,
20160805:1356,447.19,804.942,49.56,19.65,4.88,0,,,,,,,,,,
20160805:1456,463.23,833.814,42.5,19.88,4.66,0,,,,,,,,,,
20160805:1556,390.63,703.134,34.03,20.11,4.44,0,,,,,,,,,,
20160805:1656,258.3,464.94,24.92,19.66,4.49,0,,,,,,,,,,
20160805:1756,99.6,179.28,15.66,19.22,4.53,0,,,,,,,,,,
20160805:1856,30.79,55.422,6.65,18.77,4.58,0,,,,,,,,,,
20160805:1956,0,0,0,17.74,4.17,0,,,,,,,,,,
20160805:2056,0,0,0,16.7,3.75,0,,,,,,,,,,
20160805:2156,0,0,0,15.67,3.34,0,,,,,,,,,,
20160805:2256,0,0,0,15.2,3.22,0,,,,,,,,,,
20160805:2356,0,0,0,14.73,3.1,0,,,,,,,,,,
20160806:0056,0,0,0,14.26,2.98,0,,,,,,,,,,
20160806:0156,0,0,0,13.66,2.81,0,,,,,,,,,,
20160806:0256,0,0,0,13.06,2.65,0,,,,,,,,,,
20160806:0356,0,0,0,12.46,2.48,0,,,,,,,,,,
20160806:0456,8.3,14.94,2.01,12.59,2.73,0,,,,,,,,,,
20160806:0556,67.33,121.194,10.76,12.72,2.97,0,,,,,,,,,,
20160806:0656,262.11,471.798,19.94,12.85,3.21,0,,,,,,,,,,
20160806:0756,485.91,874.638,29.18,14.58,3.21,0,,,,,,,,,,
20160806:0856,694.91,1250.838,38.04,16.31,3.2,0,,,,,,,,,,
20160806:0956,863.77,1554.786,45.92,18.04,3.2,0,,,,,,,,,,
20160806:1056,964.1,1735.38,51.91,19.09,3.37,0,,,,,,,,,,
20160806:1156,1005.54,1809.972,54.83,20.13,3.54,0,,,,,,,,,,
20160806:1256,974.71,1754.478,53.86,21.18,3.71,0,,,,,,,,,,
20160806:1356,872.91,1571.238,49.3,21.73,4.14,0,,,,,,,,,,
20160806:1456,714.12,1285.416,42.26,22.28,4.57,0,,,,,,,,,,
20160806:1556,513.16,923.688,33.8,22.84,4.99,0,,,,,,,,,,
20160806:1656,293.45,528.21,24.7,22.42,5.22,0,,,,,,,,,,
20160806:1756,93.01,167.418,15.44,22,5.44,0,,,,,,,,,,
20160806:1856,29.43,52.974,6.42,21.58,5.67,0,,,,,,,,,,
20160806:1956,0,0,0,20.46,5.57,0,,,,,,,,,,
20160806:2056,0,0,0,19.34,5.47,0,,,,,,,,,,
20160806:2156,0,0,0,18.22,5.37,0,,,,,,,,,,
20160806:2256,0,0,0,17.95,5.69,0,,,,,,,,,,
20160806:2356,0,0,0,17.69,6.01,0,,,,,,,,,,
20160807:0056,0,0,0,17.42,6.33,0,,,,,,,,,,
20160807:0156,0,0,0,17.29,6.51,0,,,,,,,,,,
20160807:0256,0,0,0,17.16,6.68,0,,,,,,,,,,
20160807:0356,0,0,0,17.03,6.86,0,,,,,,,,,,
20160807:0456,7.2,12.96,1.8,17.13,6.81,0,,,,,,,,,,
20160807:0556,40.01,72.018,10.56,17.24,6.77,0,,,,,,,,,,
20160807:0656,90.7,163.26,19.75,17.34,6.73,0,,,,,,,,,,
20160807:0756,153.97,277.146,28.98,17.85,6.94,0,,,,,,,,,,
20160807:0856,427.01,768.618,37.83,18.36,7.15,0,,,,,,,,,,
20160807:0956,427.32,769.176,45.69,18.87,7.37,0,,,,,,,,,,
20160807:1056,1000.39,1800.702,51.65,19.73,7.44,0,,,,,,,,,,
20160807:1156,842.8,1517.04,54.55,20.58,7.51,0,,,,,,,,,,
20160807:1256,837.94,1508.292,53.58,21.44,7.59,0,,,,,,,,,,
20160807:1356,907,1632.6,49.04,21.27,7.59,0,,,,,,,,,,
20160807:1456,742.3,1336.14,42.01,21.11,7.6,0,,,,,,,,,,
20160807:1556,533.59,960.462,33.57,20.95,7.6,0,,,,,,,,,,
20160807:1656,300.47,540.846,24.47,20.19,7.59,0,,,,,,,,,,
20160807:1756,93.55,168.39,15.21,19.44,7.57,0,,,,,,,,,,
20160807:1856,29.05,52.29,6.19,18.68,7.56,0,,,,,,,,,,
20160807:1956,0,0,0,17.65,7.46,0,,,,,,,,,,
20160807:2056,0,0,0,16.61,7.37,0,,,,,,,,,,
20160807:2156,0,0,0,15.58,7.27,0,,,,,,,,,,
20160807:2256,0,0,0,15.55,7.27,0,,,,,,,,,,
20160807:2356,0,0,0,15.52,7.28,0,,,,,,,,,,
20160808:0056,0,0,0,15.49,7.28,0,,,,,,,,,,
20160808:0156,0,0,0,14.93,6.93,0,,,,,,,,,,
20160808:0256,0,0,0,14.36,6.58,0,,,,,,,,,,
20160808:0356,0,0,0,13.8,6.23,0,,,,,,,,,,
20160808:0456,6.18,11.124,1.59,13.53,6.09,0,,,,,,,,,,
20160808:0556,66.95,120.51,10.36,13.26,5.95,0,,,,,,,,,,
20160808:0656,198.24,356.832,19.55,12.99,5.81,0,,,,,,,,,,
20160808:0756,370.22,666.396,28.78,13.97,6.18,0,,,,,,,,,,
20160808:0856,393.17,707.706,37.63,14.95,6.55,0,,,,,,,,,,
20160808:0956,874.42,1573.956,45.46,15.92,6.92,0,,,,,,,,,,
20160808:1056,787.6,1417.68,51.4,16.6,6.76,0,,,,,,,,,,
20160808:1156,1035.31,1863.558,54.28,17.29,6.59,0,,,,,,,,,,
20160808:1256,687.08,1236.744,53.3,17.97,6.43,0,,,,,,,,,,
20160808:1356,697.67,1255.806,48.77,17.95,6.36,0,,,,,,,,,,
20160808:1456,384.91,692.838,41.76,17.93,6.3,0,,,,,,,,,,
20160808:1556,521.66,938.988,33.33,17.91,6.23,0,,,,,,,,,,
20160808:1656,209.21,376.578,24.23,17.46,5.89,0,,,,,,,,,,
20160808:1756,81.84,147.312,14.97,17.01,5.55,0,,,,,,,,,,
20160808:1856,26.72,48.096,5.95,16.56,5.21,0,,,,,,,,,,
20160808:1956,0,0,0,15.61,4.68,0,,,,,,,,,,
20160808:2056,0,0,0,14.66,4.15,0,,,,,,,,,,
20160808:2156,0,0,0,13.72,3.61,0,,,,,,,,,,
20160808:2256,0,0,0,13.15,3.57,0,,,,,,,,,,
20160808:2356,0,0,0,12.59,3.53,0,,,,,,,,,,
20160809:0056,0,0,0,12.03,3.49,0,,,,,,,,,,
20160809:0156,0,0,0,11.51,3.65,0,,,,,,,,,,
20160809:0256,0,0,0,10.99,3.81,0,,,,,,,,,,
20160809:0356,0,0,0,10.47,3.97,0,,,,,,,,,,
20160809:0456,5.04,9.072,1.38,10.42,3.97,0,,,,,,,,,,
20160809:0556,65.98,118.764,10.16,10.38,3.97,0,,,,,,,,,,
20160809:0656,267.65,481.77,19.35,10.34,3.97,0,,,,,,,,,,
20160809:0756,497.18,894.924,28.58,11.76,4.29,0,,,,,,,,,,
20160809:0856,517.14,930.852,37.41,13.18,4.62,0,,,,,,,,,,
20160809:0956,749.96,1349.928,45.23,14.6,4.94,0,,,,,,,,,,
20160809:1056,990.6,1783.08,51.14,15.44,5.01,0,,,,,,,,,,
20160809:1156,626.01,1126.818,53.99,16.28,5.08,0,,,,,,,,,,
20160809:1256,428.28,770.904,53.02,17.12,5.14,0,,,,,,,,,,
20160809:1356,313.4,564.12,48.5,17.1,5.52,0,,,,,,,,,,
20160809:1456,691.09,1243.962,41.5,17.08,5.9,0,,,,,,,,,,
20160809:1556,113.11,203.598,33.09,17.07,6.28,0,,,,,,,,,,
20160809:1656,113.89,205.002,23.99,16.56,6.17,0,,,,,,,,,,
20160809:1756,73.44,132.192,14.73,16.06,6.06,0,,,,,,,,,,
20160809:1856,20.54,36.972,5.7,15.55,5.96,0,,,,,,,,,,
20160809:1956,0,0,0,14.64,5.29,0,,,,,,,,,,
20160809:2056,0,0,0,13.73,4.63,0,,,,,,,,,,
20160809:2156,0,0,0,12.82,3.96,0,,,,,,,,,,
20160809:2256,0,0,0,12.28,3.85,0,,,,,,,,,,
20160809:2356,0,0,0,11.75,3.74,0,,,,,,,,,,
20160810:0056,0,0,0,11.21,3.63,0,,,,,,,,,,
20160810:0156,0,0,0,10.86,3.72,0,,,,,,,,,,
20160810:0256,0,0,0,10.5,3.81,0,,,,,,,,,,
20160810:0356,0,0,0,10.15,3.9,0,,,,,,,,,,
