,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20161201:0056,0,0,0,-3.17,2.12,0,,,Efficiency,0.15,,201611:2356,0,,Total kWh,68670.324
20161201:0156,0,0,0,-2.95,2.16,0,,,,,,201612:0056,0,,,
20161201:0256,0,0,0,-2.73,2.2,0,,,,,,201612:0156,0,,,
20161201:0356,0,0,0,-2.51,2.23,0,,,,,,201612:0256,0,,,
20161201:0456,0,0,0,-2.4,2.29,0,,,,,,201612:0356,0,,,
20161201:0556,0,0,0,-2.28,2.34,0,,,,,,201612:0456,0,,,
20161201:0656,0,0,0,-2.16,2.4,0,,,,,,201612:0556,0,,,
20161201:0756,0,0,0,-1.61,2.65,0,,,,,,201612:0656,0,,,
20161201:0856,240.22,432.396,6.67,-1.05,2.91,0,,,,,,201612:0756,0,,,
20161201:0956,443.81,798.858,11.95,-0.49,3.16,0,,,,,,201612:0856,213.1629677,,,
20161201:1056,564.97,1016.946,15.3,1.24,3.08,0,,,,,,201612:0956,340.640129,,,
20161201:1156,596.74,1074.132,16.43,2.97,3,0,,,,,,201612:1056,383.4063871,,,
20161201:1256,542.4,976.32,15.23,4.7,2.92,0,,,,,,201612:1156,432.927871,,,
20161201:1356,406.19,731.142,11.81,4.24,2.7,0,,,,,,201612:1256,344.1356129,,,
20161201:1456,199.33,358.794,6.49,3.78,2.48,0,,,,,,201612:1356,278.6812258,,,
20161201:1556,0,0,0,3.33,2.26,0,,,,,,201612:1456,222.2175484,,,
20161201:1656,0,0,0,2.57,2.34,0,,,,,,201612:1556,0,,,
20161201:1756,0,0,0,1.82,2.43,0,,,,,,201612:1656,0,,,
20161201:1856,0,0,0,1.07,2.51,0,,,,,,201612:1756,0,,,
20161201:1956,0,0,0,1.23,2.47,0,,,,,,201612:1856,0,,,
20161201:2056,0,0,0,1.39,2.43,0,,,,,,201612:1956,0,,,
20161201:2156,0,0,0,1.56,2.39,0,,,,,,201612:2056,0,,,
20161201:2256,0,0,0,1.86,2.37,0,,,,,,201612:2156,0,,,
20161201:2356,0,0,0,2.17,2.35,0,,,,,,201612:2256,0,,,
20161202:0056,0,0,0,2.48,2.33,0,,,,,,201612:2356,0,,,
20161202:0156,0,0,0,1.83,2.3,0,,,,,,,,,,
20161202:0256,0,0,0,1.18,2.28,0,,,,,,,,,,
20161202:0356,0,0,0,0.53,2.25,0,,,,,,,,,,
20161202:0456,0,0,0,0.62,2.31,0,,,,,,,,,,
20161202:0556,0,0,0,0.71,2.38,0,,,,,,,,,,
20161202:0656,0,0,0,0.8,2.44,0,,,,,,,,,,
20161202:0756,0,0,0,1.23,2.29,0,,,,,,,,,,
20161202:0856,237.71,427.878,6.5,1.64,2.13,0,,,,,,,,,,
20161202:0956,63.41,114.138,11.78,2.07,1.97,0,,,,,,,,,,
20161202:1056,67.89,122.202,15.13,2.95,1.89,0,,,,,,,,,,
20161202:1156,78.31,140.958,16.28,3.83,1.82,0,,,,,,,,,,
20161202:1256,61.16,110.088,15.09,4.71,1.74,0,,,,,,,,,,
20161202:1356,43.48,78.264,11.69,4.92,1.72,0,,,,,,,,,,
20161202:1456,29.46,53.028,6.39,5.14,1.71,0,,,,,,,,,,
20161202:1556,0,0,0,5.36,1.7,0,,,,,,,,,,
20161202:1656,0,0,0,4.88,1.86,0,,,,,,,,,,
20161202:1756,0,0,0,4.4,2.02,0,,,,,,,,,,
20161202:1856,0,0,0,3.93,2.18,0,,,,,,,,,,
20161202:1956,0,0,0,3.87,2.28,0,,,,,,,,,,
20161202:2056,0,0,0,3.82,2.38,0,,,,,,,,,,
20161202:2156,0,0,0,3.77,2.48,0,,,,,,,,,,
