,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160201:0056,0,0,0,10.44,8.77,0,,,Efficiency,0.15,,201601:2356,0,,Total kWh,137282.976
20160201:0156,0,0,0,9.87,8.95,0,,,,,,201602:0056,0,,,
20160201:0256,0,0,0,9.3,9.13,0,,,,,,201602:0156,0,,,
20160201:0356,0,0,0,8.72,9.31,0,,,,,,201602:0256,0,,,
20160201:0456,0,0,0,8.51,9.44,0,,,,,,201602:0356,0,,,
20160201:0556,0,0,0,8.3,9.58,0,,,,,,201602:0456,0,,,
20160201:0656,0,0,0,8.09,9.71,0,,,,,,201602:0556,0,,,
20160201:0756,0.25,0.45,0.66,8.45,9.79,0,,,,,,201602:0656,0,,,
20160201:0856,97.77,175.986,8.2,8.81,9.87,0,,,,,,201602:0756,105.3465517,,,
20160201:0956,131.99,237.582,14.39,9.17,9.94,0,,,,,,201602:0856,407.2711034,,,
20160201:1056,92.95,167.31,18.76,9.79,10.36,0,,,,,,201602:0956,625.338,,,
20160201:1156,144.47,260.046,20.92,10.4,10.78,0,,,,,,201602:1056,747.1353103,,,
20160201:1256,95.02,171.036,20.63,11.02,11.2,0,,,,,,201602:1156,769.2585517,,,
20160201:1356,182.89,329.202,17.93,10.94,11.54,0,,,,,,201602:1256,704.4933103,,,
20160201:1456,69.14,124.452,13.11,10.87,11.87,0,,,,,,201602:1356,654.0206897,,,
20160201:1556,45.83,82.494,6.57,10.79,12.21,0,,,,,,201602:1456,419.4924828,,,
20160201:1656,0,0,0,10.13,11.91,0,,,,,,201602:1556,246.3790345,,,
20160201:1756,0,0,0,9.48,11.62,0,,,,,,201602:1656,55.16068966,,,
20160201:1856,0,0,0,8.82,11.32,0,,,,,,201602:1756,0,,,
20160201:1956,0,0,0,8.26,11.16,0,,,,,,201602:1856,0,,,
20160201:2056,0,0,0,7.7,10.99,0,,,,,,201602:1956,0,,,
20160201:2156,0,0,0,7.14,10.83,0,,,,,,201602:2056,0,,,
20160201:2256,0,0,0,6.85,10.63,0,,,,,,201602:2156,0,,,
20160201:2356,0,0,0,6.56,10.44,0,,,,,,201602:2256,0,,,
20160202:0056,0,0,0,6.28,10.25,0,,,,,,201602:2356,0,,,
20160202:0156,0,0,0,6.44,9.86,0,,,,,,,,,,
20160202:0256,0,0,0,6.6,9.48,0,,,,,,Avg hourly,,,,
20160202:0356,0,0,0,6.76,9.09,0,,,,,,,,,,
20160202:0456,0,0,0,6.63,9.05,0,,,,,,,,,,
20160202:0556,0,0,0,6.5,9.01,0,,,,,,,,,,
20160202:0656,0,0,0,6.36,8.97,0,,,,,,,,,,
20160202:0756,3.13,5.634,0.87,6.29,8.82,0,,,,,,,,,,
20160202:0856,114.19,205.542,8.44,6.21,8.67,0,,,,,,,,,,
20160202:0956,419.93,755.874,14.64,6.13,8.52,0,,,,,,,,,,
20160202:1056,668.14,1202.652,19.03,6.59,9.03,0,,,,,,,,,,
20160202:1156,734.05,1321.29,21.2,7.04,9.53,0,,,,,,,,,,
20160202:1256,713.83,1284.894,20.92,7.5,10.03,0,,,,,,,,,,
20160202:1356,298.2,536.76,18.22,7.35,9.81,0,,,,,,,,,,
20160202:1456,136.09,244.962,13.38,7.21,9.59,0,,,,,,,,,,
20160202:1556,202.31,364.158,6.83,7.07,9.37,0,,,,,,,,,,
20160202:1656,0,0,0,6.27,8.58,0,,,,,,,,,,
20160202:1756,0,0,0,5.48,7.8,0,,,,,,,,,,
20160202:1856,0,0,0,4.68,7.02,0,,,,,,,,,,
20160202:1956,0,0,0,4.26,6.67,0,,,,,,,,,,
20160202:2056,0,0,0,3.85,6.31,0,,,,,,,,,,
20160202:2156,0,0,0,3.43,5.96,0,,,,,,,,,,
20160202:2256,0,0,0,3.08,5.89,0,,,,,,,,,,
20160202:2356,0,0,0,2.73,5.81,0,,,,,,,,,,
20160203:0056,0,0,0,2.38,5.74,0,,,,,,,,,,
20160203:0156,0,0,0,2.26,5.8,0,,,,,,,,,,
20160203:0256,0,0,0,2.15,5.86,0,,,,,,,,,,
20160203:0356,0,0,0,2.03,5.92,0,,,,,,,,,,
20160203:0456,0,0,0,1.95,6.41,0,,,,,,,,,,
20160203:0556,0,0,0,1.87,6.9,0,,,,,,,,,,
20160203:0656,0,0,0,1.79,7.39,0,,,,,,,,,,
20160203:0756,3.98,7.164,1.09,2.14,7.66,0,,,,,,,,,,
20160203:0856,298.57,537.426,8.68,2.49,7.92,0,,,,,,,,,,
20160203:0956,204.7,368.46,14.9,2.83,8.18,0,,,,,,,,,,
20160203:1056,289.21,520.578,19.31,3.85,8.95,0,,,,,,,,,,
20160203:1156,133.9,241.02,21.49,4.86,9.72,0,,,,,,,,,,
20160203:1256,133.91,241.038,21.21,5.88,10.5,0,,,,,,,,,,
20160203:1356,527.76,949.968,18.51,5.79,9.26,0,,,,,,,,,,
20160203:1456,87.39,157.302,13.66,5.71,8.02,0,,,,,,,,,,
20160203:1556,207.76,373.968,7.1,5.62,6.79,0,,,,,,,,,,
20160203:1656,0,0,0,4.97,6.01,0,,,,,,,,,,
20160203:1756,0,0,0,4.32,5.24,0,,,,,,,,,,
20160203:1856,0,0,0,3.67,4.47,0,,,,,,,,,,
20160203:1956,0,0,0,3.23,4.45,0,,,,,,,,,,
20160203:2056,0,0,0,2.8,4.43,0,,,,,,,,,,
20160203:2156,0,0,0,2.36,4.41,0,,,,,,,,,,
20160203:2256,0,0,0,2.48,4.46,0,,,,,,,,,,
20160203:2356,0,0,0,2.6,4.51,0,,,,,,,,,,
20160204:0056,0,0,0,2.72,4.57,0,,,,,,,,,,
20160204:0156,0,0,0,3.35,5.41,0,,,,,,,,,,
20160204:0256,0,0,0,3.97,6.26,0,,,,,,,,,,
20160204:0356,0,0,0,4.6,7.1,0,,,,,,,,,,
20160204:0456,0,0,0,5.43,7.58,0,,,,,,,,,,
20160204:0556,0,0,0,6.26,8.06,0,,,,,,,,,,
20160204:0656,0,0,0,7.08,8.54,0,,,,,,,,,,
20160204:0756,4.02,7.236,1.32,7.6,8.05,0,,,,,,,,,,
20160204:0856,239.81,431.658,8.92,8.11,7.55,0,,,,,,,,,,
20160204:0956,81.05,145.89,15.16,8.62,7.06,0,,,,,,,,,,
20160204:1056,242.33,436.194,19.59,9.2,7.58,0,,,,,,,,,,
20160204:1156,468.09,842.562,21.78,9.79,8.09,0,,,,,,,,,,
20160204:1256,254.68,458.424,21.51,10.37,8.61,0,,,,,,,,,,
20160204:1356,488.8,879.84,18.81,10.25,7.75,0,,,,,,,,,,
20160204:1456,274.97,494.946,13.95,10.14,6.9,0,,,,,,,,,,
20160204:1556,147.12,264.816,7.38,10.03,6.04,0,,,,,,,,,,
20160204:1656,0,0,0,9.67,5.42,0,,,,,,,,,,
20160204:1756,0,0,0,9.32,4.8,0,,,,,,,,,,
20160204:1856,0,0,0,8.96,4.18,0,,,,,,,,,,
20160204:1956,0,0,0,8.78,4.31,0,,,,,,,,,,
20160204:2056,0,0,0,8.61,4.45,0,,,,,,,,,,
20160204:2156,0,0,0,8.43,4.58,0,,,,,,,,,,
20160204:2256,0,0,0,8.42,4.81,0,,,,,,,,,,
20160204:2356,0,0,0,8.41,5.05,0,,,,,,,,,,
20160205:0056,0,0,0,8.41,5.28,0,,,,,,,,,,
20160205:0156,0,0,0,8.24,5.55,0,,,,,,,,,,
20160205:0256,0,0,0,8.07,5.83,0,,,,,,,,,,
20160205:0356,0,0,0,7.9,6.1,0,,,,,,,,,,
20160205:0456,0,0,0,7.78,6.11,0,,,,,,,,,,
20160205:0556,0,0,0,7.66,6.13,0,,,,,,,,,,
20160205:0656,0,0,0,7.54,6.15,0,,,,,,,,,,
20160205:0756,3.09,5.562,1.56,7.66,6.39,0,,,,,,,,,,
20160205:0856,38.35,69.03,9.17,7.77,6.62,0,,,,,,,,,,
20160205:0956,126.18,227.124,15.43,7.88,6.86,0,,,,,,,,,,
20160205:1056,81.86,147.348,19.87,8.32,7.99,0,,,,,,,,,,
20160205:1156,101.32,182.376,22.08,8.75,9.13,0,,,,,,,,,,
20160205:1256,58.4,105.12,21.82,9.19,10.26,0,,,,,,,,,,
20160205:1356,35.25,63.45,19.1,9.14,9.88,0,,,,,,,,,,
20160205:1456,33.75,60.75,14.24,9.1,9.5,0,,,,,,,,,,
20160205:1556,58.13,104.634,7.65,9.05,9.12,0,,,,,,,,,,
20160205:1656,0,0,0,8.8,9.19,0,,,,,,,,,,
20160205:1756,0,0,0,8.54,9.26,0,,,,,,,,,,
20160205:1856,0,0,0,8.29,9.32,0,,,,,,,,,,
20160205:1956,0,0,0,8.19,9.58,0,,,,,,,,,,
20160205:2056,0,0,0,8.09,9.84,0,,,,,,,,,,
20160205:2156,0,0,0,7.99,10.1,0,,,,,,,,,,
20160205:2256,0,0,0,7.96,9.61,0,,,,,,,,,,
20160205:2356,0,0,0,7.93,9.12,0,,,,,,,,,,
20160206:0056,0,0,0,7.9,8.63,0,,,,,,,,,,
20160206:0156,0,0,0,7.94,7.81,0,,,,,,,,,,
20160206:0256,0,0,0,7.98,6.99,0,,,,,,,,,,
20160206:0356,0,0,0,8.02,6.17,0,,,,,,,,,,
20160206:0456,0,0,0,7.98,7.14,0,,,,,,,,,,
20160206:0556,0,0,0,7.94,8.11,0,,,,,,,,,,
20160206:0656,0,0,0,7.89,9.08,0,,,,,,,,,,
20160206:0756,6.14,11.052,1.79,8.04,9.31,0,,,,,,,,,,
20160206:0856,25.74,46.332,9.43,8.18,9.54,0,,,,,,,,,,
20160206:0956,58.21,104.778,15.71,8.32,9.77,0,,,,,,,,,,
20160206:1056,33.97,61.146,20.17,8.62,10.77,0,,,,,,,,,,
20160206:1156,100.41,180.738,22.39,8.91,11.77,0,,,,,,,,,,
20160206:1256,13.42,24.156,22.12,9.21,12.77,0,,,,,,,,,,
20160206:1356,45.43,81.774,19.4,9.39,12.87,0,,,,,,,,,,
20160206:1456,7.46,13.428,14.53,9.58,12.97,0,,,,,,,,,,
20160206:1556,107.53,193.554,7.93,9.77,13.06,0,,,,,,,,,,
20160206:1656,0,0,0,9.52,12.93,0,,,,,,,,,,
20160206:1756,0,0,0,9.28,12.8,0,,,,,,,,,,
20160206:1856,0,0,0,9.03,12.66,0,,,,,,,,,,
20160206:1956,0,0,0,8.59,11.53,0,,,,,,,,,,
20160206:2056,0,0,0,8.14,10.39,0,,,,,,,,,,
20160206:2156,0,0,0,7.7,9.26,0,,,,,,,,,,
20160206:2256,0,0,0,6.95,8.69,0,,,,,,,,,,
20160206:2356,0,0,0,6.2,8.12,0,,,,,,,,,,
20160207:0056,0,0,0,5.45,7.56,0,,,,,,,,,,
20160207:0156,0,0,0,4.42,7.06,0,,,,,,,,,,
20160207:0256,0,0,0,3.4,6.57,0,,,,,,,,,,
20160207:0356,0,0,0,2.37,6.07,0,,,,,,,,,,
20160207:0456,0,0,0,2.46,6.47,0,,,,,,,,,,
20160207:0556,0,0,0,2.54,6.88,0,,,,,,,,,,
20160207:0656,0,0,0,2.62,7.28,0,,,,,,,,,,
20160207:0756,0.96,1.728,2.04,2.98,7.22,0,,,,,,,,,,
20160207:0856,240.94,433.692,9.69,3.33,7.16,0,,,,,,,,,,
20160207:0956,445.47,801.846,15.99,3.68,7.1,0,,,,,,,,,,
20160207:1056,365.23,657.414,20.46,4.55,7.87,0,,,,,,,,,,
20160207:1156,396.85,714.33,22.69,5.41,8.64,0,,,,,,,,,,
20160207:1256,336.04,604.872,22.43,6.28,9.41,0,,,,,,,,,,
20160207:1356,228.69,411.642,19.71,6.51,9.48,0,,,,,,,,,,
20160207:1456,42.84,77.112,14.82,6.75,9.56,0,,,,,,,,,,
20160207:1556,30.51,54.918,8.2,6.98,9.64,0,,,,,,,,,,
20160207:1656,0,0,0,6.48,9.88,0,,,,,,,,,,
20160207:1756,0,0,0,5.98,10.13,0,,,,,,,,,,
20160207:1856,0,0,0,5.48,10.37,0,,,,,,,,,,
20160207:1956,0,0,0,6.25,10.86,0,,,,,,,,,,
20160207:2056,0,0,0,7.03,11.35,0,,,,,,,,,,
20160207:2156,0,0,0,7.8,11.83,0,,,,,,,,,,
20160207:2256,0,0,0,7.71,12.13,0,,,,,,,,,,
