,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160101:0056,0,0,0,2.56,3.34,0,,,Efficiency,0.15,,201512:2356,0,,Total kWh,75321.522
20160101:0156,0,0,0,1.79,2.91,0,,,,,,201601:0056,0,,,
20160101:0256,0,0,0,1.02,2.49,0,,,,,,201601:0156,0,,,
20160101:0356,0,0,0,0.25,2.07,0,,,,,,201601:0256,0,,,
20160101:0456,0,0,0,0.26,2.23,0,,,,,,201601:0356,0,,,
20160101:0556,0,0,0,0.26,2.4,0,,,,,,201601:0456,0,,,
20160101:0656,0,0,0,0.27,2.57,0,,,,,,201601:0556,0,,,
20160101:0756,0,0,0,0.95,3.37,0,,,,,,201601:0656,0,,,
20160101:0856,19.63,35.334,4.13,1.64,4.18,0,,,,,,201601:0756,0,,,
20160101:0956,281.3,506.34,9.73,2.32,4.99,0,,,,,,201601:0856,188.7752903,,,
20160101:1056,70.7,127.26,13.51,3.32,5.73,0,,,,,,201601:0956,285.822,,,
20160101:1156,107.26,193.068,15.15,4.33,6.46,0,,,,,,201601:1056,413.3009032,,,
20160101:1256,58.71,105.678,14.49,5.33,7.2,0,,,,,,201601:1156,449.5952903,,,
20160101:1356,16.15,29.07,11.61,5.55,7.59,0,,,,,,201601:1256,423.8686452,,,
20160101:1456,15.51,27.918,6.75,5.78,7.97,0,,,,,,201601:1356,310.2352258,,,
20160101:1556,0,0,0,6,8.36,0,,,,,,201601:1456,255.9257419,,,
20160101:1656,0,0,0,6.08,8.64,0,,,,,,201601:1556,74.92354839,,,
20160101:1756,0,0,0,6.15,8.92,0,,,,,,201601:1656,0,,,
20160101:1856,0,0,0,6.23,9.2,0,,,,,,201601:1756,0,,,
20160101:1956,0,0,0,6.25,9.42,0,,,,,,201601:1856,0,,,
20160101:2056,0,0,0,6.27,9.64,0,,,,,,201601:1956,0,,,
20160101:2156,0,0,0,6.3,9.86,0,,,,,,201601:2056,0,,,
20160101:2256,0,0,0,6.49,9.75,0,,,,,,201601:2156,0,,,
20160101:2356,0,0,0,6.69,9.63,0,,,,,,201601:2256,0,,,
20160102:0056,0,0,0,6.89,9.52,0,,,,,,201601:2356,0,,,
20160102:0156,0,0,0,6.87,9.14,0,,,,,,,,,,
20160102:0256,0,0,0,6.85,8.77,0,,,,,,,,,,
20160102:0356,0,0,0,6.82,8.4,0,,,,,,,,,,
20160102:0456,0,0,0,7.01,8.6,0,,,,,,,,,,
20160102:0556,0,0,0,7.21,8.8,0,,,,,,,,,,
20160102:0656,0,0,0,7.4,9.01,0,,,,,,,,,,
20160102:0756,0,0,0,7.45,8.76,0,,,,,,,,,,
20160102:0856,126.85,228.33,4.16,7.51,8.52,0,,,,,,,,,,
20160102:0956,42.3,76.14,9.78,7.56,8.28,0,,,,,,,,,,
20160102:1056,6.87,12.366,13.57,7.87,7.67,0,,,,,,,,,,
20160102:1156,30.2,54.36,15.23,8.18,7.07,0,,,,,,,,,,
20160102:1256,7.6,13.68,14.59,8.49,6.47,0,,,,,,,,,,
20160102:1356,5.59,10.062,11.72,8.4,4.75,0,,,,,,,,,,
20160102:1456,214.17,385.506,6.87,8.32,3.03,0,,,,,,,,,,
20160102:1556,0,0,0,8.23,1.31,0,,,,,,,,,,
20160102:1656,0,0,0,8.17,2.46,0,,,,,,,,,,
20160102:1756,0,0,0,8.12,3.61,0,,,,,,,,,,
20160102:1856,0,0,0,8.06,4.76,0,,,,,,,,,,
20160102:1956,0,0,0,7.99,5.42,0,,,,,,,,,,
20160102:2056,0,0,0,7.92,6.07,0,,,,,,,,,,
20160102:2156,0,0,0,7.85,6.73,0,,,,,,,,,,
20160102:2256,0,0,0,7.66,7.02,0,,,,,,,,,,
20160102:2356,0,0,0,7.48,7.3,0,,,,,,,,,,
20160103:0056,0,0,0,7.29,7.59,0,,,,,,,,,,
20160103:0156,0,0,0,6.73,6.82,0,,,,,,,,,,
20160103:0256,0,0,0,6.17,6.06,0,,,,,,,,,,
20160103:0356,0,0,0,5.61,5.3,0,,,,,,,,,,
20160103:0456,0,0,0,5.4,5.09,0,,,,,,,,,,
20160103:0556,0,0,0,5.18,4.88,0,,,,,,,,,,
20160103:0656,0,0,0,4.97,4.68,0,,,,,,,,,,
20160103:0756,0,0,0,5.25,5.97,0,,,,,,,,,,
20160103:0856,39.58,71.244,4.19,5.54,7.27,0,,,,,,,,,,
20160103:0956,41.05,73.89,9.83,5.82,8.57,0,,,,,,,,,,
20160103:1056,42.21,75.978,13.64,6.41,8.84,0,,,,,,,,,,
20160103:1156,33.84,60.912,15.32,7,9.12,0,,,,,,,,,,
20160103:1256,11.73,21.114,14.7,7.59,9.39,0,,,,,,,,,,
20160103:1356,26.15,47.07,11.84,7.59,8.35,0,,,,,,,,,,
20160103:1456,9.46,17.028,7,7.6,7.31,0,,,,,,,,,,
20160103:1556,0,0,0,7.6,6.26,0,,,,,,,,,,
20160103:1656,0,0,0,7.27,5.66,0,,,,,,,,,,
20160103:1756,0,0,0,6.93,5.06,0,,,,,,,,,,
20160103:1856,0,0,0,6.6,4.46,0,,,,,,,,,,
20160103:1956,0,0,0,6.15,4.23,0,,,,,,,,,,
20160103:2056,0,0,0,5.7,4,0,,,,,,,,,,
20160103:2156,0,0,0,5.25,3.78,0,,,,,,,,,,
20160103:2256,0,0,0,5.16,3.88,0,,,,,,,,,,
20160103:2356,0,0,0,5.06,3.98,0,,,,,,,,,,
20160104:0056,0,0,0,4.97,4.08,0,,,,,,,,,,
20160104:0156,0,0,0,4.99,4.17,0,,,,,,,,,,
20160104:0256,0,0,0,5,4.27,0,,,,,,,,,,
20160104:0356,0,0,0,5.01,4.36,0,,,,,,,,,,
20160104:0456,0,0,0,5.13,4.57,0,,,,,,,,,,
20160104:0556,0,0,0,5.25,4.77,0,,,,,,,,,,
20160104:0656,0,0,0,5.37,4.98,0,,,,,,,,,,
20160104:0756,0,0,0,5.43,5.07,0,,,,,,,,,,
