,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160701:0056,0,0,0,14.01,6.91,0,,,Efficiency,0.15,,201606:2356,0,,Total kWh,288513.054
20160701:0156,0,0,0,13.99,6.72,0,,,,,,201607:0056,0,,,
20160701:0256,0,0,0,13.97,6.53,0,,,,,,201607:0156,0,,,
20160701:0356,0,0,0,13.95,6.34,0,,,,,,201607:0256,0,,,
20160701:0456,40.36,72.648,7.47,13.89,6.12,0,,,,,,201607:0356,0,,,
20160701:0556,105.31,189.558,16.01,13.83,5.89,0,,,,,,201607:0456,44.79677419,,,
20160701:0656,186.49,335.682,25.08,13.77,5.67,0,,,,,,201607:0556,136.1165806,,,
20160701:0756,182.54,328.572,34.34,14.19,6.06,0,,,,,,201607:0656,352.8725806,,,
20160701:0856,417.83,752.094,43.39,14.61,6.46,0,,,,,,201607:0756,573.0352258,,,
20160701:0956,283.14,509.652,51.63,15.03,6.86,0,,,,,,201607:0856,772.3805806,,,
20160701:1056,326.74,588.132,58.06,15.32,7.34,0,,,,,,201607:0956,920.8962581,,,
20160701:1156,921.04,1657.872,61.21,15.62,7.83,0,,,,,,201607:1056,1081.195548,,,
20160701:1256,759.31,1366.758,59.94,15.91,8.32,0,,,,,,201607:1156,1034.30671,,,
20160701:1356,497.54,895.572,54.75,16.37,8.35,0,,,,,,201607:1256,1157.112581,,,
20160701:1456,317.83,572.094,47.15,16.84,8.39,0,,,,,,201607:1356,943.3277419,,,
20160701:1556,170.6,307.08,38.37,17.3,8.43,0,,,,,,201607:1456,767.9508387,,,
20160701:1656,240.95,433.71,29.14,16.76,8.52,0,,,,,,201607:1556,582.6820645,,,
20160701:1756,46.98,84.564,19.95,16.21,8.62,0,,,,,,201607:1656,390.5703871,,,
20160701:1856,49.59,89.262,11.13,15.66,8.72,0,,,,,,201607:1756,181.6321935,,,
20160701:1956,14.4,25.92,3.03,14.61,8.13,0,,,,,,201607:1856,70.48567742,,,
20160701:2056,0,0,0,13.56,7.55,0,,,,,,201607:1956,10.51606452,,,
20160701:2156,0,0,0,12.52,6.97,0,,,,,,201607:2056,0,,,
20160701:2256,0,0,0,11.95,6.88,0,,,,,,201607:2156,0,,,
20160701:2356,0,0,0,11.39,6.79,0,,,,,,201607:2256,0,,,
20160702:0056,0,0,0,10.82,6.7,0,,,,,,201607:2356,0,,,
20160702:0156,0,0,0,10.42,6.26,0,,,,,,,,,,
20160702:0256,0,0,0,10.01,5.81,0,,,,,,,,,,
20160702:0356,0,0,0,9.61,5.37,0,,,,,,,,,,
20160702:0456,35.74,64.332,7.38,10.08,5.82,0,,,,,,,,,,
20160702:0556,105.63,190.134,15.93,10.54,6.27,0,,,,,,,,,,
20160702:0656,313.05,563.49,25,11.01,6.72,0,,,,,,,,,,
20160702:0756,530.95,955.71,34.26,12.06,7.06,0,,,,,,,,,,
20160702:0856,527.69,949.842,43.31,13.11,7.4,0,,,,,,,,,,
20160702:0956,568.43,1023.174,51.55,14.16,7.74,0,,,,,,,,,,
20160702:1056,513.09,923.562,57.98,14.61,7.82,0,,,,,,,,,,
20160702:1156,627,1128.6,61.14,15.05,7.89,0,,,,,,,,,,
20160702:1256,782.31,1408.158,59.89,15.5,7.97,0,,,,,,,,,,
20160702:1356,548.53,987.354,54.71,15.79,7.94,0,,,,,,,,,,
20160702:1456,640.14,1152.252,47.12,16.08,7.92,0,,,,,,,,,,
20160702:1556,397.03,714.654,38.35,16.36,7.89,0,,,,,,,,,,
20160702:1656,328.48,591.264,29.12,16.21,7.59,0,,,,,,,,,,
20160702:1756,142.27,256.086,19.92,16.06,7.28,0,,,,,,,,,,
20160702:1856,60.22,108.396,11.1,15.91,6.98,0,,,,,,,,,,
20160702:1956,14.06,25.308,2.99,14.97,6.18,0,,,,,,,,,,
20160702:2056,0,0,0,14.03,5.39,0,,,,,,,,,,
20160702:2156,0,0,0,13.1,4.59,0,,,,,,,,,,
20160702:2256,0,0,0,12.48,4.4,0,,,,,,,,,,
20160702:2356,0,0,0,11.86,4.21,0,,,,,,,,,,
20160703:0056,0,0,0,11.24,4.01,0,,,,,,,,,,
20160703:0156,0,0,0,10.76,3.83,0,,,,,,,,,,
20160703:0256,0,0,0,10.27,3.64,0,,,,,,,,,,
