,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160601:0056,0,0,0,11.78,6.65,0,,,Efficiency,0.15,,201605:2356,0,,Total kWh,214446.744
20160601:0156,0,0,0,11.5,6.68,0,,,,,,201606:0056,0,,,
20160601:0256,0,0,0,11.22,6.7,0,,,,,,201606:0156,0,,,
20160601:0356,0,0,0,10.94,6.73,0,,,,,,201606:0256,0,,,
20160601:0456,35.32,63.576,7.42,11.13,6.69,0,,,,,,201606:0356,0,,,
20160601:0556,28.38,51.084,16.07,11.33,6.66,0,,,,,,201606:0456,59.9082,,,
20160601:0656,84.82,152.676,25.19,11.52,6.62,0,,,,,,201606:0556,147.9024,,,
20160601:0756,186.46,335.628,34.45,12.17,7.22,0,,,,,,201606:0656,312.2298,,,
20160601:0856,132.53,238.554,43.42,12.83,7.83,0,,,,,,201606:0756,503.2176,,,
20160601:0956,148.86,267.948,51.46,13.48,8.43,0,,,,,,201606:0856,640.8018,,,
20160601:1056,234.84,422.712,57.54,14.28,8.46,0,,,,,,201606:0956,692.7204,,,
20160601:1156,200.61,361.098,60.23,15.08,8.5,0,,,,,,201606:1056,778.6308,,,
20160601:1256,176.87,318.366,58.56,15.88,8.54,0,,,,,,201606:1156,785.0184,,,
20160601:1356,164.41,295.938,53.17,16.04,8.25,0,,,,,,201606:1256,763.8834,,,
20160601:1456,146.45,263.61,45.49,16.19,7.97,0,,,,,,201606:1356,792.783,,,
20160601:1556,185.91,334.638,36.68,16.35,7.68,0,,,,,,201606:1456,580.6986,,,
20160601:1656,226.37,407.466,27.45,16.22,7.47,0,,,,,,201606:1556,498.9762,,,
20160601:1756,91.88,165.384,18.26,16.1,7.26,0,,,,,,201606:1656,325.8624,,,
20160601:1856,52.81,95.058,9.46,15.97,7.05,0,,,,,,201606:1756,170.523,,,
20160601:1956,0.59,1.062,1.39,14.83,6.86,0,,,,,,201606:1856,80.139,,,
20160601:2056,0,0,0,13.69,6.66,0,,,,,,201606:1956,14.9298,,,
20160601:2156,0,0,0,12.55,6.47,0,,,,,,201606:2056,0,,,
20160601:2256,0,0,0,11.81,6.61,0,,,,,,201606:2156,0,,,
20160601:2356,0,0,0,11.06,6.74,0,,,,,,201606:2256,0,,,
20160602:0056,0,0,0,10.32,6.88,0,,,,,,201606:2356,0,,,
20160602:0156,0,0,0,9.86,7.06,0,,,,,,,,,,
20160602:0256,0,0,0,9.39,7.23,0,,,,,,,,,,
20160602:0356,0,0,0,8.93,7.41,0,,,,,,,,,,
20160602:0456,26.42,47.556,7.5,8.91,7.44,0,,,,,,,,,,
20160602:0556,106.14,191.052,16.15,8.9,7.47,0,,,,,,,,,,
20160602:0656,76.95,138.51,25.27,8.88,7.5,0,,,,,,,,,,
