,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160301:0056,0,0,0,3.22,6.63,0,,,Efficiency,0.15,,201602:2356,0,,Total kWh,192091.356
20160301:0156,0,0,0,3.69,7,0,,,,,,201603:0056,0,,,
20160301:0256,0,0,0,4.17,7.37,0,,,,,,201603:0156,0,,,
20160301:0356,0,0,0,4.65,7.74,0,,,,,,201603:0256,0,,,
20160301:0456,0,0,0,5.36,7.88,0,,,,,,201603:0356,0,,,
20160301:0556,0,0,0,6.08,8.03,0,,,,,,201603:0456,0,,,
20160301:0656,0,0,0,6.79,8.18,0,,,,,,201603:0556,0.535935484,,,
20160301:0756,32.09,57.762,8.57,7.13,8.33,0,,,,,,201603:0656,134.4733548,,,
20160301:0856,31.34,56.412,16.56,7.46,8.48,0,,,,,,201603:0756,278.2329677,,,
20160301:0956,93.92,169.056,23.24,7.8,8.63,0,,,,,,201603:0856,479.8230968,,,
20160301:1056,83,149.4,28.03,8.28,8.24,0,,,,,,201603:0956,744.7157419,,,
20160301:1156,302.52,544.536,30.43,8.75,7.84,0,,,,,,201603:1056,814.617871,,,
20160301:1256,448.79,807.822,30.08,9.23,7.45,0,,,,,,201603:1156,870.8823871,,,
20160301:1356,278.03,500.454,27.05,9.65,7.7,0,,,,,,201603:1256,926.1592258,,,
20160301:1456,593.46,1068.228,21.74,10.08,7.94,0,,,,,,201603:1356,788.1015484,,,
20160301:1556,90.33,162.594,14.69,10.5,8.19,0,,,,,,201603:1456,569.0996129,,,
20160301:1656,23.55,42.39,6.46,9.9,8.08,0,,,,,,201603:1556,399.7132258,,,
20160301:1756,0,0,0,9.31,7.96,0,,,,,,201603:1656,171.9092903,,,
20160301:1856,0,0,0,8.71,7.85,0,,,,,,201603:1756,18.23109677,,,
20160301:1956,0,0,0,8.13,7.93,0,,,,,,201603:1856,0,,,
20160301:2056,0,0,0,7.55,8,0,,,,,,201603:1956,0,,,
20160301:2156,0,0,0,6.97,8.08,0,,,,,,201603:2056,0,,,
20160301:2256,0,0,0,6.55,8.04,0,,,,,,201603:2156,0,,,
20160301:2356,0,0,0,6.13,8,0,,,,,,201603:2256,0,,,
20160302:0056,0,0,0,5.7,7.96,0,,,,,,201603:2356,0,,,
20160302:0156,0,0,0,5,8.08,0,,,,,,,,,,
20160302:0256,0,0,0,4.3,8.21,0,,,,,,,,,,
20160302:0356,0,0,0,3.59,8.33,0,,,,,,,,,,
20160302:0456,0,0,0,3.22,7.96,0,,,,,,,,,,
20160302:0556,0,0,0,2.84,7.59,0,,,,,,,,,,
20160302:0656,0,0,0,2.47,7.21,0,,,,,,,,,,
20160302:0756,220.48,396.864,8.91,3.02,7.81,0,,,,,,,,,,
20160302:0856,51.71,93.078,16.91,3.56,8.4,0,,,,,,,,,,
20160302:0956,98.96,178.128,23.6,4.11,8.99,0,,,,,,,,,,
20160302:1056,213.39,384.102,28.42,4.2,9.62,0,,,,,,,,,,
20160302:1156,277.47,499.446,30.81,4.29,10.25,0,,,,,,,,,,
20160302:1256,752.95,1355.31,30.46,4.38,10.88,0,,,,,,,,,,
20160302:1356,790.85,1423.53,27.41,4.35,11.24,0,,,,,,,,,,
20160302:1456,115.53,207.954,22.06,4.32,11.59,0,,,,,,,,,,
20160302:1556,336.43,605.574,14.99,4.28,11.94,0,,,,,,,,,,
20160302:1656,51.04,91.872,6.74,4.08,10.43,0,,,,,,,,,,
20160302:1756,0,0,0,3.87,8.91,0,,,,,,,,,,
20160302:1856,0,0,0,3.67,7.39,0,,,,,,,,,,
20160302:1956,0,0,0,3.53,7.99,0,,,,,,,,,,
20160302:2056,0,0,0,3.4,8.59,0,,,,,,,,,,
20160302:2156,0,0,0,3.26,9.19,0,,,,,,,,,,
20160302:2256,0,0,0,3.55,10.05,0,,,,,,,,,,
20160302:2356,0,0,0,3.84,10.91,0,,,,,,,,,,
20160303:0056,0,0,0,4.12,11.77,0,,,,,,,,,,
20160303:0156,0,0,0,4.13,11.25,0,,,,,,,,,,
20160303:0256,0,0,0,4.13,10.73,0,,,,,,,,,,
20160303:0356,0,0,0,4.14,10.21,0,,,,,,,,,,
20160303:0456,0,0,0,3.8,9.19,0,,,,,,,,,,
20160303:0556,0,0,0,3.46,8.17,0,,,,,,,,,,
20160303:0656,2.41,4.338,0.43,3.12,7.16,0,,,,,,,,,,
20160303:0756,135.02,243.036,9.26,3.34,6.86,0,,,,,,,,,,
20160303:0856,431.55,776.79,17.27,3.57,6.56,0,,,,,,,,,,
20160303:0956,324.52,584.136,23.97,3.79,6.26,0,,,,,,,,,,
20160303:1056,161,289.8,28.8,4.57,5.76,0,,,,,,,,,,
20160303:1156,264,475.2,31.19,5.36,5.25,0,,,,,,,,,,
20160303:1256,294.36,529.848,30.83,6.14,4.74,0,,,,,,,,,,
20160303:1356,144.33,259.794,27.76,6.46,4.72,0,,,,,,,,,,
20160303:1456,131.22,236.196,22.39,6.78,4.69,0,,,,,,,,,,
20160303:1556,294.75,530.55,15.29,7.1,4.66,0,,,,,,,,,,
20160303:1656,63.46,114.228,7.02,6.56,4.34,0,,,,,,,,,,
20160303:1756,0,0,0,6.01,4.01,0,,,,,,,,,,
20160303:1856,0,0,0,5.47,3.68,0,,,,,,,,,,
20160303:1956,0,0,0,5.16,4.57,0,,,,,,,,,,
20160303:2056,0,0,0,4.85,5.45,0,,,,,,,,,,
20160303:2156,0,0,0,4.54,6.33,0,,,,,,,,,,
20160303:2256,0,0,0,4.7,6.11,0,,,,,,,,,,
20160303:2356,0,0,0,4.86,5.88,0,,,,,,,,,,
20160304:0056,0,0,0,5.03,5.66,0,,,,,,,,,,
20160304:0156,0,0,0,4.14,6.12,0,,,,,,,,,,
20160304:0256,0,0,0,3.25,6.59,0,,,,,,,,,,
20160304:0356,0,0,0,2.36,7.06,0,,,,,,,,,,
20160304:0456,0,0,0,1.49,6.42,0,,,,,,,,,,
20160304:0556,0,0,0,0.62,5.77,0,,,,,,,,,,
20160304:0656,4.4,7.92,0.76,-0.25,5.13,0,,,,,,,,,,
20160304:0756,282.03,507.654,9.6,0.34,5.08,0,,,,,,,,,,
20160304:0856,537.16,966.888,17.63,0.92,5.02,0,,,,,,,,,,
20160304:0956,745.17,1341.306,24.35,1.51,4.97,0,,,,,,,,,,
20160304:1056,876.8,1578.24,29.18,2.51,5.11,0,,,,,,,,,,
20160304:1156,660.83,1189.494,31.58,3.51,5.26,0,,,,,,,,,,
20160304:1256,265.05,477.09,31.21,4.51,5.41,0,,,,,,,,,,
20160304:1356,219.55,395.19,28.11,4.43,5.03,0,,,,,,,,,,
20160304:1456,108.71,195.678,22.72,4.35,4.66,0,,,,,,,,,,
20160304:1556,85.22,153.396,15.6,4.27,4.29,0,,,,,,,,,,
20160304:1656,76.7,138.06,7.31,3.52,3.31,0,,,,,,,,,,
20160304:1756,0,0,0,2.77,2.32,0,,,,,,,,,,
20160304:1856,0,0,0,2.02,1.34,0,,,,,,,,,,
20160304:1956,0,0,0,1.49,1.14,0,,,,,,,,,,
20160304:2056,0,0,0,0.96,0.93,0,,,,,,,,,,
20160304:2156,0,0,0,0.43,0.73,0,,,,,,,,,,
20160304:2256,0,0,0,0.28,1.34,0,,,,,,,,,,
20160304:2356,0,0,0,0.13,1.94,0,,,,,,,,,,
20160305:0056,0,0,0,-0.01,2.55,0,,,,,,,,,,
20160305:0156,0,0,0,-1.87,2.96,0,,,,,,,,,,
20160305:0256,0,0,0,-3.72,3.37,0,,,,,,,,,,
20160305:0356,0,0,0,-5.57,3.78,0,,,,,,,,,,
20160305:0456,0,0,0,-4.77,4.07,0,,,,,,,,,,
20160305:0556,0,0,0,-3.98,4.37,0,,,,,,,,,,
20160305:0656,6.69,12.042,1.1,-3.18,4.66,0,,,,,,,,,,
20160305:0756,4.82,8.676,9.95,-1.54,5.36,0,,,,,,,,,,
20160305:0856,217.88,392.184,17.99,0.09,6.05,0,,,,,,,,,,
20160305:0956,393.56,708.408,24.72,1.73,6.74,0,,,,,,,,,,
20160305:1056,371.77,669.186,29.57,2.45,7.3,0,,,,,,,,,,
20160305:1156,606.83,1092.294,31.97,3.17,7.85,0,,,,,,,,,,
20160305:1256,594.01,1069.218,31.58,3.89,8.4,0,,,,,,,,,,
20160305:1356,326.28,587.304,28.47,4.4,8.07,0,,,,,,,,,,
20160305:1456,418.72,753.696,23.04,4.92,7.75,0,,,,,,,,,,
20160305:1556,301.96,543.528,15.9,5.43,7.42,0,,,,,,,,,,
20160305:1656,33.59,60.462,7.59,4.69,6.64,0,,,,,,,,,,
20160305:1756,0,0,0,3.94,5.86,0,,,,,,,,,,
20160305:1856,0,0,0,3.2,5.08,0,,,,,,,,,,
20160305:1956,0,0,0,2.51,5.11,0,,,,,,,,,,
20160305:2056,0,0,0,1.83,5.15,0,,,,,,,,,,
20160305:2156,0,0,0,1.14,5.19,0,,,,,,,,,,
20160305:2256,0,0,0,0.94,5.14,0,,,,,,,,,,
20160305:2356,0,0,0,0.74,5.09,0,,,,,,,,,,
20160306:0056,0,0,0,0.54,5.03,0,,,,,,,,,,
20160306:0156,0,0,0,0.33,4.74,0,,,,,,,,,,
20160306:0256,0,0,0,0.12,4.45,0,,,,,,,,,,
20160306:0356,0,0,0,-0.09,4.15,0,,,,,,,,,,
20160306:0456,0,0,0,-0.13,4.17,0,,,,,,,,,,
20160306:0556,0,0,0,-0.16,4.18,0,,,,,,,,,,
20160306:0656,8.43,15.174,1.44,-0.2,4.19,0,,,,,,,,,,
20160306:0756,86.2,155.16,10.3,0.38,4.77,0,,,,,,,,,,
20160306:0856,191.74,345.132,18.35,0.97,5.34,0,,,,,,,,,,
20160306:0956,271.89,489.402,25.1,1.55,5.92,0,,,,,,,,,,
20160306:1056,721.44,1298.592,29.96,2.09,5.89,0,,,,,,,,,,
