,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160501:0056,0,0,0,1.27,2.62,0,,,Efficiency,0.15,,201604:2356,0,,Total kWh,295411.41
20160501:0156,0,0,0,0.93,2.5,0,,,,,,201605:0056,0,,,
20160501:0256,0,0,0,0.59,2.37,0,,,,,,201605:0156,0,,,
20160501:0356,0,0,0,0.25,2.25,0,,,,,,201605:0256,0,,,
20160501:0456,9.82,17.676,1.89,1.05,2.68,0,,,,,,201605:0356,0,,,
20160501:0556,90.46,162.828,10.77,1.85,3.11,0,,,,,,201605:0456,43.50890323,,,
20160501:0656,310.65,559.17,20,2.65,3.54,0,,,,,,201605:0556,145.7047742,,,
20160501:0756,538.66,969.588,29.19,4.57,3.99,0,,,,,,201605:0656,351.36,,,
20160501:0856,705.53,1269.954,37.89,6.48,4.43,0,,,,,,201605:0756,604.6989677,,,
20160501:0956,922.94,1661.292,45.46,8.4,4.87,0,,,,,,201605:0856,899.2230968,,,
20160501:1056,897.54,1615.572,50.95,8.96,5.29,0,,,,,,201605:0956,1104.555484,,,
20160501:1156,892.73,1606.914,53.27,9.53,5.71,0,,,,,,201605:1056,1286.694,,,
20160501:1256,870.07,1566.126,51.79,10.09,6.14,0,,,,,,201605:1156,1258.682516,,,
20160501:1356,534.74,962.532,46.91,10.92,6.46,0,,,,,,201605:1256,1146.789871,,,
20160501:1456,391.49,704.682,39.72,11.74,6.78,0,,,,,,201605:1356,848.6854839,,,
20160501:1556,253.54,456.372,31.21,12.56,7.1,0,,,,,,201605:1456,719.442,,,
20160501:1656,153.11,275.598,22.09,11.96,6.6,0,,,,,,201605:1556,555.7790323,,,
20160501:1756,35.06,63.108,12.83,11.36,6.09,0,,,,,,201605:1656,367.0798065,,,
20160501:1856,20.03,36.054,3.84,10.77,5.59,0,,,,,,201605:1756,140.0916774,,,
20160501:1956,0,0,0,10.22,5.44,0,,,,,,201605:1856,56.38877419,,,
20160501:2056,0,0,0,9.67,5.3,0,,,,,,201605:1956,0.715935484,,,
20160501:2156,0,0,0,9.12,5.16,0,,,,,,201605:2056,0,,,
20160501:2256,0,0,0,9.1,5.27,0,,,,,,201605:2156,0,,,
20160501:2356,0,0,0,9.08,5.38,0,,,,,,201605:2256,0,,,
20160502:0056,0,0,0,9.06,5.49,0,,,,,,201605:2356,0,,,
20160502:0156,0,0,0,9,5.55,0,,,,,,,,,,
20160502:0256,0,0,0,8.94,5.61,0,,,,,,,,,,
20160502:0356,0,0,0,8.89,5.67,0,,,,,,,,,,
20160502:0456,10.67,19.206,2.15,9.11,5.81,0,,,,,,,,,,
20160502:0556,62.82,113.076,11.03,9.34,5.95,0,,,,,,,,,,
20160502:0656,113.11,203.598,20.25,9.57,6.1,0,,,,,,,,,,
20160502:0756,206.27,371.286,29.45,9.96,7.01,0,,,,,,,,,,
20160502:0856,359.99,647.982,38.16,10.35,7.93,0,,,,,,,,,,
20160502:0956,584.16,1051.488,45.74,10.74,8.84,0,,,,,,,,,,
20160502:1056,679.95,1223.91,51.25,10.91,9.16,0,,,,,,,,,,
20160502:1156,722.32,1300.176,53.57,11.08,9.48,0,,,,,,,,,,
20160502:1256,270.43,486.774,52.07,11.25,9.79,0,,,,,,,,,,
20160502:1356,161.14,290.052,47.17,11.28,9.15,0,,,,,,,,,,
20160502:1456,146.08,262.944,39.96,11.31,8.51,0,,,,,,,,,,
20160502:1556,155.96,280.728,31.43,11.33,7.86,0,,,,,,,,,,
20160502:1656,280.36,504.648,22.3,10.72,7.47,0,,,,,,,,,,
20160502:1756,76.25,137.25,13.05,10.11,7.08,0,,,,,,,,,,
20160502:1856,21.98,39.564,4.06,9.51,6.69,0,,,,,,,,,,
20160502:1956,0,0,0,8.72,6.19,0,,,,,,,,,,
20160502:2056,0,0,0,7.93,5.69,0,,,,,,,,,,
20160502:2156,0,0,0,7.15,5.19,0,,,,,,,,,,
20160502:2256,0,0,0,6.59,4.85,0,,,,,,,,,,
20160502:2356,0,0,0,6.03,4.51,0,,,,,,,,,,
20160503:0056,0,0,0,5.47,4.17,0,,,,,,,,,,
20160503:0156,0,0,0,4.94,3.88,0,,,,,,,,,,
20160503:0256,0,0,0,4.41,3.6,0,,,,,,,,,,
20160503:0356,0,0,0,3.88,3.31,0,,,,,,,,,,
20160503:0456,12.87,23.166,2.41,4.14,3.57,0,,,,,,,,,,
20160503:0556,95.09,171.162,11.27,4.39,3.83,0,,,,,,,,,,
20160503:0656,317.3,571.14,20.49,4.64,4.08,0,,,,,,,,,,
20160503:0756,471.75,849.15,29.7,6.36,4.54,0,,,,,,,,,,
20160503:0856,765.92,1378.656,38.42,8.08,4.99,0,,,,,,,,,,
20160503:0956,943.56,1698.408,46.01,9.81,5.45,0,,,,,,,,,,
20160503:1056,1039.66,1871.388,51.54,10.64,5.71,0,,,,,,,,,,
20160503:1156,1075.52,1935.936,53.87,11.46,5.97,0,,,,,,,,,,
20160503:1256,280.87,505.566,52.35,12.29,6.23,0,,,,,,,,,,
20160503:1356,298.31,536.958,47.42,12.4,6.26,0,,,,,,,,,,
20160503:1456,154.81,278.658,40.19,12.51,6.29,0,,,,,,,,,,
20160503:1556,231.47,416.646,31.65,12.61,6.32,0,,,,,,,,,,
20160503:1656,119.36,214.848,22.51,12.18,5.37,0,,,,,,,,,,
20160503:1756,77.15,138.87,13.26,11.74,4.43,0,,,,,,,,,,
20160503:1856,21.09,37.962,4.28,11.31,3.49,0,,,,,,,,,,
20160503:1956,0,0,0,9.48,3.26,0,,,,,,,,,,
20160503:2056,0,0,0,7.66,3.04,0,,,,,,,,,,
20160503:2156,0,0,0,5.84,2.81,0,,,,,,,,,,
20160503:2256,0,0,0,5.28,2.64,0,,,,,,,,,,
20160503:2356,0,0,0,4.71,2.46,0,,,,,,,,,,
20160504:0056,0,0,0,4.15,2.29,0,,,,,,,,,,
20160504:0156,0,0,0,3.55,2.22,0,,,,,,,,,,
20160504:0256,0,0,0,2.95,2.14,0,,,,,,,,,,
20160504:0356,0,0,0,2.35,2.07,0,,,,,,,,,,
20160504:0456,14.1,25.38,2.66,2.87,2.27,0,,,,,,,,,,
20160504:0556,95.5,171.9,11.51,3.4,2.46,0,,,,,,,,,,
20160504:0656,314.06,565.308,20.73,3.92,2.66,0,,,,,,,,,,
20160504:0756,552.86,995.148,29.94,6.39,3.22,0,,,,,,,,,,
20160504:0856,769.24,1384.632,38.67,8.86,3.78,0,,,,,,,,,,
20160504:0956,939.23,1690.614,46.28,11.33,4.34,0,,,,,,,,,,
20160504:1056,1043.27,1877.886,51.82,12.23,4.59,0,,,,,,,,,,
20160504:1156,1075.74,1936.332,54.16,13.14,4.83,0,,,,,,,,,,
20160504:1256,1031.7,1857.06,52.63,14.04,5.08,0,,,,,,,,,,
20160504:1356,911.51,1640.718,47.68,14.35,5.03,0,,,,,,,,,,
20160504:1456,735.09,1323.162,40.42,14.65,4.97,0,,,,,,,,,,
20160504:1556,516.39,929.502,31.86,14.95,4.92,0,,,,,,,,,,
20160504:1656,280.92,505.656,22.72,14.37,4.58,0,,,,,,,,,,
20160504:1756,68.39,123.102,13.47,13.79,4.23,0,,,,,,,,,,
20160504:1856,23.97,43.146,4.5,13.2,3.89,0,,,,,,,,,,
20160504:1956,0,0,0,11.52,3.46,0,,,,,,,,,,
20160504:2056,0,0,0,9.84,3.03,0,,,,,,,,,,
20160504:2156,0,0,0,8.16,2.61,0,,,,,,,,,,
20160504:2256,0,0,0,7.51,2.53,0,,,,,,,,,,
20160504:2356,0,0,0,6.85,2.46,0,,,,,,,,,,
20160505:0056,0,0,0,6.2,2.39,0,,,,,,,,,,
20160505:0156,0,0,0,5.55,2.37,0,,,,,,,,,,
20160505:0256,0,0,0,4.9,2.36,0,,,,,,,,,,
20160505:0356,0,0,0,4.26,2.34,0,,,,,,,,,,
20160505:0456,15.33,27.594,2.9,4.67,2.44,0,,,,,,,,,,
20160505:0556,96.5,173.7,11.75,5.09,2.54,0,,,,,,,,,,
20160505:0656,312.99,563.382,20.97,5.51,2.63,0,,,,,,,,,,
20160505:0756,542.67,976.806,30.18,8.07,2.65,0,,,,,,,,,,
20160505:0856,713.32,1283.976,38.92,10.62,2.67,0,,,,,,,,,,
20160505:0956,929.44,1672.992,46.54,13.18,2.69,0,,,,,,,,,,
20160505:1056,1036.71,1866.078,52.11,14.44,3.15,0,,,,,,,,,,
20160505:1156,1068.87,1923.966,54.45,15.7,3.62,0,,,,,,,,,,
20160505:1256,1025.1,1845.18,52.9,16.96,4.08,0,,,,,,,,,,
20160505:1356,910.21,1638.378,47.92,17.28,4.26,0,,,,,,,,,,
20160505:1456,646.89,1164.402,40.64,17.59,4.44,0,,,,,,,,,,
20160505:1556,430.21,774.378,32.07,17.9,4.62,0,,,,,,,,,,
20160505:1656,258.42,465.156,22.92,17.17,4.05,0,,,,,,,,,,
20160505:1756,88.78,159.804,13.67,16.44,3.48,0,,,,,,,,,,
20160505:1856,26.09,46.962,4.72,15.72,2.91,0,,,,,,,,,,
20160505:1956,0,0,0,13.95,2.79,0,,,,,,,,,,
20160505:2056,0,0,0,12.18,2.67,0,,,,,,,,,,
20160505:2156,0,0,0,10.41,2.55,0,,,,,,,,,,
20160505:2256,0,0,0,9.91,2.56,0,,,,,,,,,,
20160505:2356,0,0,0,9.42,2.57,0,,,,,,,,,,
20160506:0056,0,0,0,8.92,2.58,0,,,,,,,,,,
20160506:0156,0,0,0,8,2.44,0,,,,,,,,,,
20160506:0256,0,0,0,7.07,2.29,0,,,,,,,,,,
20160506:0356,0,0,0,6.14,2.15,0,,,,,,,,,,
20160506:0456,16.13,29.034,3.14,6.49,2.46,0,,,,,,,,,,
20160506:0556,35.7,64.26,11.98,6.84,2.76,0,,,,,,,,,,
20160506:0656,185.6,334.08,21.2,7.19,3.06,0,,,,,,,,,,
20160506:0756,266.64,479.952,30.41,9.41,3.14,0,,,,,,,,,,
20160506:0856,658.57,1185.426,39.16,11.63,3.22,0,,,,,,,,,,
20160506:0956,925.71,1666.278,46.8,13.86,3.3,0,,,,,,,,,,
20160506:1056,996.71,1794.078,52.38,15.43,3.26,0,,,,,,,,,,
20160506:1156,1046.13,1883.034,54.73,17.01,3.22,0,,,,,,,,,,
20160506:1256,1015.42,1827.756,53.17,18.58,3.19,0,,,,,,,,,,
20160506:1356,794.57,1430.226,48.17,18.71,3.37,0,,,,,,,,,,
20160506:1456,516.31,929.358,40.86,18.84,3.56,0,,,,,,,,,,
20160506:1556,273.95,493.11,32.28,18.96,3.75,0,,,,,,,,,,
20160506:1656,143.98,259.164,23.12,18.34,3.12,0,,,,,,,,,,
20160506:1756,95.03,171.054,13.88,17.71,2.48,0,,,,,,,,,,
20160506:1856,26.72,48.096,4.93,17.08,1.85,0,,,,,,,,,,
20160506:1956,0,0,0,15.42,2.11,0,,,,,,,,,,
20160506:2056,0,0,0,13.75,2.37,0,,,,,,,,,,
20160506:2156,0,0,0,12.09,2.63,0,,,,,,,,,,
20160506:2256,0,0,0,11.74,2.54,0,,,,,,,,,,
20160506:2356,0,0,0,11.4,2.44,0,,,,,,,,,,
20160507:0056,0,0,0,11.05,2.34,0,,,,,,,,,,
20160507:0156,0,0,0,10.58,2.29,0,,,,,,,,,,
20160507:0256,0,0,0,10.1,2.23,0,,,,,,,,,,
20160507:0356,0,0,0,9.62,2.18,0,,,,,,,,,,
20160507:0456,17.4,31.32,3.37,9.92,2.29,0,,,,,,,,,,
20160507:0556,75.88,136.584,12.21,10.22,2.4,0,,,,,,,,,,
20160507:0656,91.33,164.394,21.42,10.51,2.51,0,,,,,,,,,,
20160507:0756,377.44,679.392,30.63,12.71,2.8,0,,,,,,,,,,
20160507:0856,208.28,374.904,39.4,14.91,3.09,0,,,,,,,,,,
20160507:0956,766.98,1380.564,47.06,17.11,3.38,0,,,,,,,,,,
20160507:1056,770.67,1387.206,52.65,17.79,4.12,0,,,,,,,,,,
20160507:1156,656.54,1181.772,55.01,18.48,4.87,0,,,,,,,,,,
20160507:1256,605.44,1089.792,53.44,19.16,5.61,0,,,,,,,,,,
20160507:1356,232.48,418.464,48.41,19.36,5.46,0,,,,,,,,,,
20160507:1456,178.78,321.804,41.08,19.56,5.3,0,,,,,,,,,,
20160507:1556,307.6,553.68,32.49,19.76,5.14,0,,,,,,,,,,
20160507:1656,204.56,368.208,23.32,19.19,4.51,0,,,,,,,,,,
20160507:1756,44.39,79.902,14.08,18.61,3.89,0,,,,,,,,,,
20160507:1856,26.38,47.484,5.14,18.03,3.26,0,,,,,,,,,,
20160507:1956,0,0,0,16.76,3.06,0,,,,,,,,,,
20160507:2056,0,0,0,15.49,2.87,0,,,,,,,,,,
20160507:2156,0,0,0,14.22,2.68,0,,,,,,,,,,
20160507:2256,0,0,0,13.95,2.91,0,,,,,,,,,,
20160507:2356,0,0,0,13.69,3.15,0,,,,,,,,,,
20160508:0056,0,0,0,13.42,3.39,0,,,,,,,,,,
20160508:0156,0,0,0,12.74,3.09,0,,,,,,,,,,
20160508:0256,0,0,0,12.05,2.78,0,,,,,,,,,,
20160508:0356,0,0,0,11.36,2.47,0,,,,,,,,,,
20160508:0456,17.4,31.32,3.6,11.65,2.75,0,,,,,,,,,,
20160508:0556,98.48,177.264,12.43,11.94,3.04,0,,,,,,,,,,
20160508:0656,195.32,351.576,21.64,12.22,3.32,0,,,,,,,,,,
20160508:0756,455.39,819.702,30.86,14.35,3.83,0,,,,,,,,,,
20160508:0856,735.34,1323.612,39.63,16.48,4.33,0,,,,,,,,,,
20160508:0956,848.81,1527.858,47.3,18.62,4.83,0,,,,,,,,,,
20160508:1056,1011.68,1821.024,52.92,19.78,5.51,0,,,,,,,,,,
20160508:1156,1038.76,1869.768,55.28,20.93,6.19,0,,,,,,,,,,
20160508:1256,995.69,1792.242,53.7,22.09,6.87,0,,,,,,,,,,
20160508:1356,848.82,1527.876,48.65,22.43,6.93,0,,,,,,,,,,
20160508:1456,720.2,1296.36,41.3,22.77,6.99,0,,,,,,,,,,
20160508:1556,450.75,811.35,32.69,23.11,7.05,0,,,,,,,,,,
20160508:1656,213.84,384.912,23.52,22.36,6.36,0,,,,,,,,,,
20160508:1756,71.4,128.52,14.28,21.6,5.67,0,,,,,,,,,,
20160508:1856,27.61,49.698,5.35,20.84,4.98,0,,,,,,,,,,
20160508:1956,0,0,0,19.83,4.96,0,,,,,,,,,,
20160508:2056,0,0,0,18.82,4.94,0,,,,,,,,,,
20160508:2156,0,0,0,17.81,4.92,0,,,,,,,,,,
20160508:2256,0,0,0,17.3,4.69,0,,,,,,,,,,
20160508:2356,0,0,0,16.79,4.46,0,,,,,,,,,,
20160509:0056,0,0,0,16.28,4.22,0,,,,,,,,,,
20160509:0156,0,0,0,15.96,4.22,0,,,,,,,,,,
20160509:0256,0,0,0,15.63,4.22,0,,,,,,,,,,
20160509:0356,0,0,0,15.31,4.22,0,,,,,,,,,,
20160509:0456,20.07,36.126,3.83,15.05,4.22,0,,,,,,,,,,
20160509:0556,100.13,180.234,12.65,14.79,4.22,0,,,,,,,,,,
20160509:0656,185.87,334.566,21.85,14.53,4.22,0,,,,,,,,,,
20160509:0756,138.36,249.048,31.07,15.97,4.74,0,,,,,,,,,,
20160509:0856,392.91,707.238,39.85,17.41,5.26,0,,,,,,,,,,
20160509:0956,352.51,634.518,47.55,18.86,5.78,0,,,,,,,,,,
20160509:1056,639.13,1150.434,53.18,19.02,5.96,0,,,,,,,,,,
20160509:1156,584.21,1051.578,55.55,19.19,6.14,0,,,,,,,,,,
20160509:1256,407.58,733.644,53.96,19.35,6.32,0,,,,,,,,,,
20160509:1356,128.94,232.092,48.88,19.98,6.76,0,,,,,,,,,,
20160509:1456,286.85,516.33,41.51,20.61,7.2,0,,,,,,,,,,
20160509:1556,100.92,181.656,32.89,21.23,7.64,0,,,,,,,,,,
20160509:1656,158.91,286.038,23.72,19.88,6.71,0,,,,,,,,,,
20160509:1756,80.91,145.638,14.48,18.53,5.78,0,,,,,,,,,,
20160509:1856,4.11,7.398,5.55,17.17,4.86,0,,,,,,,,,,
20160509:1956,0,0,0,16.25,4.52,0,,,,,,,,,,
20160509:2056,0,0,0,15.32,4.18,0,,,,,,,,,,
20160509:2156,0,0,0,14.39,3.85,0,,,,,,,,,,
20160509:2256,0,0,0,14.32,3.92,0,,,,,,,,,,
20160509:2356,0,0,0,14.25,3.99,0,,,,,,,,,,
20160510:0056,0,0,0,14.18,4.06,0,,,,,,,,,,
20160510:0156,0,0,0,13.92,3.38,0,,,,,,,,,,
20160510:0256,0,0,0,13.65,2.71,0,,,,,,,,,,
20160510:0356,0,0,0,13.39,2.04,0,,,,,,,,,,
20160510:0456,17.62,31.716,4.05,13.44,2.4,0,,,,,,,,,,
20160510:0556,32.97,59.346,12.86,13.5,2.77,0,,,,,,,,,,
20160510:0656,87.23,157.014,22.06,13.56,3.13,0,,,,,,,,,,
20160510:0756,71.77,129.186,31.28,13.78,3.57,0,,,,,,,,,,
20160510:0856,101.33,182.394,40.07,13.99,4,0,,,,,,,,,,
