,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20161101:0056,0,0,0,7.23,0.7,0,,,Efficiency,0.15,,201610:2356,0,,Total kWh,99934.038
20161101:0156,0,0,0,6.62,0.98,0,,,,,,201611:0056,0,,,
20161101:0256,0,0,0,6.01,1.26,0,,,,,,201611:0156,0,,,
20161101:0356,0,0,0,5.41,1.54,0,,,,,,201611:0256,0,,,
20161101:0456,0,0,0,5.64,1.78,0,,,,,,201611:0356,0,,,
20161101:0556,0,0,0,5.88,2.01,0,,,,,,201611:0456,0,,,
20161101:0656,0,0,0,6.11,2.25,0,,,,,,201611:0556,0,,,
20161101:0756,56.01,100.818,6.91,6.86,2.8,0,,,,,,201611:0656,0,,,
20161101:0856,53.32,95.976,13.97,7.61,3.35,0,,,,,,201611:0756,117.0432,,,
20161101:0956,44.52,80.136,19.44,8.36,3.9,0,,,,,,201611:0856,363.3324,,,
20161101:1056,13.69,24.642,22.84,9.16,4.42,0,,,,,,201611:0956,507.0354,,,
20161101:1156,32.29,58.122,23.82,9.95,4.94,0,,,,,,201611:1056,609.3204,,,
20161101:1256,54.71,98.478,22.26,10.75,5.46,0,,,,,,201611:1156,534.4848,,,
20161101:1356,9.96,17.928,18.33,10.4,5.08,0,,,,,,201611:1256,482.622,,,
20161101:1456,5.78,10.404,12.45,10.05,4.7,0,,,,,,201611:1356,392.1888,,,
20161101:1556,2.14,3.852,5.08,9.7,4.32,0,,,,,,201611:1456,283.7586,,,
20161101:1656,0,0,0,9.25,4.2,0,,,,,,201611:1556,41.349,,,
20161101:1756,0,0,0,8.8,4.08,0,,,,,,201611:1656,0,,,
20161101:1856,0,0,0,8.34,3.96,0,,,,,,201611:1756,0,,,
20161101:1956,0,0,0,7.81,3.66,0,,,,,,201611:1856,0,,,
20161101:2056,0,0,0,7.28,3.35,0,,,,,,201611:1956,0,,,
20161101:2156,0,0,0,6.75,3.05,0,,,,,,201611:2056,0,,,
20161101:2256,0,0,0,6.38,3.18,0,,,,,,201611:2156,0,,,
20161101:2356,0,0,0,6.01,3.31,0,,,,,,201611:2256,0,,,
20161102:0056,0,0,0,5.64,3.45,0,,,,,,201611:2356,0,,,
20161102:0156,0,0,0,4.98,3.08,0,,,,,,,,,,
20161102:0256,0,0,0,4.32,2.71,0,,,,,,,,,,
20161102:0356,0,0,0,3.66,2.34,0,,,,,,,,,,
20161102:0456,0,0,0,3.39,2.58,0,,,,,,,,,,
20161102:0556,0,0,0,3.13,2.82,0,,,,,,,,,,
20161102:0656,0,0,0,2.86,3.06,0,,,,,,,,,,
20161102:0756,198.38,357.084,6.64,3.55,3.56,0,,,,,,,,,,
20161102:0856,444.81,800.658,13.68,4.23,4.06,0,,,,,,,,,,
20161102:0956,625.56,1126.008,19.13,4.92,4.55,0,,,,,,,,,,
20161102:1056,731.51,1316.718,22.53,6.22,4.52,0,,,,,,,,,,
20161102:1156,752.49,1354.482,23.5,7.53,4.49,0,,,,,,,,,,
20161102:1256,689.75,1241.55,21.94,8.83,4.46,0,,,,,,,,,,
