,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20161001:0056,0,0,0,8.8,1.78,0,,,Efficiency,0.15,,201609:2356,0,,Total kWh,153511.812
20161001:0156,0,0,0,8.44,1.78,0,,,,,,201610:0056,0,,,
20161001:0256,0,0,0,8.08,1.79,0,,,,,,201610:0156,0,,,
20161001:0356,0,0,0,7.72,1.79,0,,,,,,201610:0256,0,,,
20161001:0456,0,0,0,7.76,1.96,0,,,,,,201610:0356,0,,,
20161001:0556,0,0,0,7.8,2.12,0,,,,,,201610:0456,0,,,
20161001:0656,120.71,217.278,6.96,7.84,2.29,0,,,,,,201610:0556,0,,,
20161001:0756,75.86,136.548,15.65,8.97,2.81,0,,,,,,201610:0656,70.7336129,,,
20161001:0856,32.84,59.112,23.39,10.09,3.34,0,,,,,,201610:0756,281.6221935,,,
20161001:0956,143.59,258.462,29.63,11.21,3.86,0,,,,,,201610:0856,429.182129,,,
20161001:1056,147.82,266.076,33.72,11.78,3.88,0,,,,,,201610:0956,686.4532258,,,
20161001:1156,884.36,1591.848,35.11,12.35,3.9,0,,,,,,201610:1056,789.6373548,,,
20161001:1256,851.82,1533.276,33.58,12.93,3.92,0,,,,,,201610:1156,756.3472258,,,
20161001:1356,62.31,112.158,29.37,12.75,3.7,0,,,,,,201610:1256,713.6837419,,,
20161001:1456,64.22,115.596,23.04,12.57,3.49,0,,,,,,201610:1356,553.058129,,,
20161001:1556,156.83,282.294,15.24,12.39,3.27,0,,,,,,201610:1456,378.8465806,,,
20161001:1656,2.77,4.986,6.52,11.56,2.69,0,,,,,,201610:1556,260.2213548,,,
20161001:1756,0,0,0,10.72,2.11,0,,,,,,201610:1656,32.2083871,,,
20161001:1856,0,0,0,9.89,1.53,0,,,,,,201610:1756,0,,,
20161001:1956,0,0,0,9.3,1.74,0,,,,,,201610:1856,0,,,
20161001:2056,0,0,0,8.72,1.95,0,,,,,,201610:1956,0,,,
20161001:2156,0,0,0,8.14,2.17,0,,,,,,201610:2056,0,,,
20161001:2256,0,0,0,7.97,2.58,0,,,,,,201610:2156,0,,,
20161001:2356,0,0,0,7.79,3,0,,,,,,201610:2256,0,,,
20161002:0056,0,0,0,7.62,3.42,0,,,,,,201610:2356,0,,,
20161002:0156,0,0,0,7.39,3.61,0,,,,,,,,,,
20161002:0256,0,0,0,7.17,3.8,0,,,,,,,,,,
20161002:0356,0,0,0,6.94,3.99,0,,,,,,,,,,
20161002:0456,0,0,0,6.91,4.05,0,,,,,,,,,,
20161002:0556,0,0,0,6.87,4.11,0,,,,,,,,,,
20161002:0656,128.29,230.922,6.7,6.83,4.18,0,,,,,,,,,,
20161002:0756,376.06,676.908,15.37,7.75,4.55,0,,,,,,,,,,
20161002:0856,602.02,1083.636,23.09,8.66,4.91,0,,,,,,,,,,
20161002:0956,776.7,1398.06,29.29,9.57,5.28,0,,,,,,,,,,
20161002:1056,879.7,1583.46,33.35,10.88,4.62,0,,,,,,,,,,
