,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160901:0056,0,0,0,14.58,2.79,0,,,Efficiency,0.15,,201608:2356,0,,Total kWh,190519.092
20160901:0156,0,0,0,13.94,2.47,0,,,,,,201609:0056,0,,,
20160901:0256,0,0,0,13.29,2.16,0,,,,,,201609:0156,0,,,
20160901:0356,0,0,0,12.65,1.85,0,,,,,,201609:0256,0,,,
20160901:0456,0,0,0,12.53,1.94,0,,,,,,201609:0356,0,,,
20160901:0556,29.72,53.496,5.12,12.41,2.03,0,,,,,,201609:0456,0,,,
20160901:0656,84.28,151.704,14.38,12.29,2.12,0,,,,,,201609:0556,16.1622,,,
20160901:0756,458.91,826.038,23.48,13.27,2.52,0,,,,,,201609:0656,196.9194,,,
20160901:0856,675.7,1216.26,31.94,14.25,2.91,0,,,,,,201609:0756,404.0568,,,
20160901:0956,837.09,1506.762,39.15,15.23,3.31,0,,,,,,201609:0856,609.9828,,,
20160901:1056,961.03,1729.854,44.3,16.34,3.53,0,,,,,,201609:0956,783.8436,,,
20160901:1156,994,1789.2,46.53,17.45,3.74,0,,,,,,201609:1056,854.9196,,,
20160901:1256,957.86,1724.148,45.34,18.56,3.96,0,,,,,,201609:1156,824.8986,,,
20160901:1356,833.14,1499.652,41.02,19.23,4.11,0,,,,,,201609:1256,794.2878,,,
20160901:1456,559.15,1006.47,34.35,19.91,4.27,0,,,,,,201609:1356,745.1502,,,
20160901:1556,283.79,510.822,26.21,20.58,4.43,0,,,,,,201609:1456,530.8554,,,
20160901:1656,215.3,387.54,17.25,19.74,4.1,0,,,,,,201609:1556,393.1872,,,
20160901:1756,43.85,78.93,8,18.89,3.77,0,,,,,,201609:1656,176.2962,,,
20160901:1856,0,0,0,18.05,3.45,0,,,,,,201609:1756,20.0766,,,
20160901:1956,0,0,0,16.95,3.51,0,,,,,,201609:1856,0,,,
20160901:2056,0,0,0,15.86,3.57,0,,,,,,201609:1956,0,,,
20160901:2156,0,0,0,14.76,3.63,0,,,,,,201609:2056,0,,,
20160901:2256,0,0,0,14.34,3.66,0,,,,,,201609:2156,0,,,
20160901:2356,0,0,0,13.92,3.7,0,,,,,,201609:2256,0,,,
20160902:0056,0,0,0,13.5,3.74,0,,,,,,201609:2356,0,,,
20160902:0156,0,0,0,13.25,4.07,0,,,,,,,,,,
20160902:0256,0,0,0,13.01,4.4,0,,,,,,,,,,
20160902:0356,0,0,0,12.77,4.73,0,,,,,,,,,,
20160902:0456,0,0,0,13.01,4.84,0,,,,,,,,,,
20160902:0556,29.92,53.856,4.89,13.24,4.94,0,,,,,,,,,,
20160902:0656,59.81,107.658,14.15,13.47,5.05,0,,,,,,,,,,
20160902:0756,139.77,251.586,23.23,14.29,5.52,0,,,,,,,,,,
20160902:0856,141.03,253.854,31.67,15.1,6,0,,,,,,,,,,
20160902:0956,144.63,260.334,38.85,15.91,6.47,0,,,,,,,,,,
20160902:1056,234.97,422.946,43.97,16.66,6.41,0,,,,,,,,,,
20160902:1156,232.54,418.572,46.17,17.4,6.35,0,,,,,,,,,,
